lon,lat,rainfall
6.1,46.8,29.3
3.7,45.9,79.5
4.8,45.8,54.2
4.9,47.9,56.6
4.6,45.3,21.8
2.0,50.0,58.5
6.9,47.2,60.1
6.5,46.1,49.1
3.0,47.6,62.1
3.5,46.2,53.6
4.6,48.1,57.9
6.5,49.1,53.5
6.9,47.1,58.9
3.3,48.7,81.3
4.8,48.0,24.4
6.0,45.8,55.2
4.0,46.1,67.4
5.7,47.7,65.5
2.8,49.2,38.5
5.0,47.2,60.8
6.3,48.1,11.0
6.9,48.8,51.9
2.4,49.0,75.1
4.1,48.2,60.1
3.0,48.9,24.5
4.3,48.0,73.5
4.7,49.6,45.0
2.5,46.7,59.6
3.5,49.2,53.9
6.6,48.2,48.9
4.8,47.9,36.5
4.3,48.6,28.4
5.8,45.1,55.4
5.7,48.9,59.5
2.2,46.1,38.0
5.5,45.8,38.5
6.2,48.3,55.5
2.8,49.5,75.0
5.9,47.8,71.4
3.4,46.2,34.8
3.5,48.7,64.3
5.3,49.5,55.9
2.6,48.7,53.3
5.3,49.0,48.7
6.4,49.7,50.6
5.5,47.6,64.9
4.2,49.5,29.3
4.2,49.0,50.3
5.8,46.7,67.9
4.8,46.6,53.6
2.4,46.0,56.6
4.9,48.3,64.3
6.1,49.4,43.6
3.7,45.4,28.8
6.6,47.9,25.8
5.8,48.5,76.1
4.9,49.1,45.4
5.8,47.8,47.5
2.4,48.3,38.5
6.3,47.6,27.3
6.1,46.0,52.9
6.5,45.3,79.3
2.6,46.3,52.0
2.4,49.1,53.2
2.7,45.6,38.1
4.0,45.4,53.3
4.1,46.1,61.3
4.8,46.4,29.5
2.6,47.0,63.1
3.0,49.2,35.9
6.1,48.1,62.0
4.3,48.8,49.8
6.0,49.5,43.2
2.0,48.8,49.4
4.8,46.3,33.0
6.7,47.7,43.1
4.9,47.3,34.9
3.0,49.1,56.1
5.6,46.2,56.0
3.9,48.0,48.0
5.3,45.2,39.1
2.1,46.6,34.2
5.2,47.3,37.0
2.2,46.0,52.8
5.7,48.4,37.8
4.4,46.8,38.8
2.6,45.9,47.0
4.7,49.3,27.6
2.3,46.0,52.8
5.3,47.9,64.3
7.0,47.4,75.8
5.8,47.2,26.8
4.9,46.2,30.6
2.5,49.1,26.8
5.5,48.2,69.6
5.3,49.0,77.0
2.2,48.6,68.3
6.0,48.8,36.6
4.6,46.0,71.9
4.1,48.0,58.1
5.9,48.9,20.3
4.1,47.5,28.6
4.4,48.1,64.3
2.9,46.4,26.4
3.6,47.3,66.5
6.2,49.2,69.0
2.9,46.0,70.5
4.1,48.6,47.9
6.9,48.2,29.6
3.2,45.4,34.5
6.6,48.3,46.0
6.6,47.3,27.6
2.5,45.9,44.1
4.3,47.1,69.6
4.5,45.6,42.9
3.6,49.7,26.0
2.2,49.9,60.6
3.2,47.1,40.5
2.5,46.0,46.4
3.2,49.0,73.3
6.0,46.6,34.3
6.5,46.8,28.6
2.2,47.0,44.9
3.5,48.6,87.9
6.9,48.1,40.3
4.7,50.0,26.4
5.1,49.2,60.6
2.0,49.9,72.3
4.4,48.9,70.6
6.9,47.1,49.1
3.9,49.6,23.5
2.5,47.0,33.5
4.3,45.5,40.2
6.8,46.1,70.0
3.7,49.9,26.5
6.0,45.9,64.7
6.0,47.0,28.8
3.0,49.2,57.8
4.2,47.5,78.1
5.6,48.3,48.5
4.1,49.4,33.3
3.0,45.5,51.4
6.8,47.4,72.6
5.3,46.6,45.0
6.3,48.2,52.2
2.1,47.5,64.0
3.3,46.7,69.8
4.5,46.0,59.5
2.3,45.7,53.6
7.0,48.7,79.5
3.2,49.1,69.4
3.9,48.9,41.2
3.1,48.4,58.3
2.5,48.1,54.0
3.2,47.0,53.2
3.5,48.2,28.1
5.2,45.6,59.1
3.4,47.9,48.5
3.8,47.9,57.1
2.0,47.5,53.0
3.8,49.0,33.1
4.7,46.8,63.0
2.8,46.6,74.4
5.0,45.5,48.9
3.5,46.6,71.3
5.2,46.8,45.5
2.1,45.4,57.2
6.4,48.7,51.7
2.1,45.2,18.0
2.6,49.5,65.9
5.9,45.5,55.7
2.2,46.2,57.0
5.6,45.9,46.8
6.9,48.2,39.7
6.4,50.0,55.0
5.6,49.2,43.3
6.8,45.3,57.8
4.1,45.6,38.3
6.4,47.7,29.7
3.8,48.9,31.7
6.6,48.6,93.7
2.7,47.6,44.7
6.7,45.1,66.4
6.2,49.9,44.2
6.2,48.8,48.5
2.6,48.1,34.8
5.0,48.6,36.6
2.1,48.0,40.4
5.6,48.5,48.3
2.0,46.6,36.1
2.4,49.1,69.1
3.1,45.3,48.5
6.4,47.4,8.0
3.8,49.8,46.5
4.7,47.9,79.4
4.8,46.1,47.5
3.1,47.7,60.7
4.9,46.2,40.6
5.3,46.7,60.4
3.5,45.0,55.3
4.1,49.4,46.2
4.3,45.7,68.6
6.7,49.0,78.7
4.9,48.7,56.2
6.7,45.1,49.9
4.8,45.1,42.9
4.5,46.7,57.4
2.0,46.7,44.3
4.4,47.6,43.9
6.6,45.6,73.5
3.0,47.7,46.1
2.3,48.9,27.0
4.0,48.8,57.3
3.9,49.1,35.8
6.3,48.4,34.7
2.1,46.4,50.7
6.6,49.2,101.1
5.4,48.1,36.6
6.5,46.3,50.1
5.0,46.8,51.3
6.1,47.6,41.8
3.7,45.1,18.1
3.7,49.4,38.9
3.9,47.0,64.5
5.8,46.9,22.5
3.8,46.0,77.8
3.2,47.4,31.1
6.7,46.2,64.5
6.5,49.2,72.7
3.7,50.0,55.5
5.2,46.8,56.2
3.4,45.8,51.8
3.0,45.3,58.6
3.7,47.8,39.4
3.6,48.8,61.6
6.4,49.5,45.7
6.1,45.3,57.2
5.5,49.8,79.9
6.8,46.8,54.0
4.1,45.3,28.7
3.2,45.5,69.2
2.6,48.5,27.9
3.5,46.9,40.9
2.7,47.9,64.3
2.5,49.3,37.4
5.0,47.2,69.2
3.8,48.0,72.1
4.8,49.3,51.4
3.0,49.9,49.9
5.4,48.7,38.9
3.1,48.3,40.9
3.4,46.8,53.0
5.7,49.7,60.4
4.8,47.8,36.4
3.7,46.9,22.0
4.7,47.1,75.5
5.5,45.1,68.3
6.6,48.6,54.3
4.9,48.6,35.9
3.2,46.6,94.5
5.7,46.4,64.7
5.9,48.9,23.7
3.0,46.1,53.0
6.1,48.2,43.9
4.3,49.1,71.1
5.9,46.8,50.1
3.2,45.2,29.8
3.7,46.8,33.3
6.8,48.4,28.5
5.3,47.2,56.7
5.9,49.6,35.1
5.4,47.6,6.9
3.0,49.9,32.1
4.4,48.3,37.6
6.0,49.1,44.0
5.4,48.2,11.3
2.0,47.5,46.8
2.4,47.9,51.8
3.7,49.1,28.7
6.7,47.8,9.1
4.5,49.6,43.3
3.4,46.5,70.1
3.8,47.1,12.9
3.1,47.3,58.2
4.1,48.3,20.5
3.1,48.9,63.4
6.2,48.1,37.7
4.3,49.4,43.2
3.4,49.8,16.8
6.7,45.2,79.9
3.6,45.0,51.9
6.5,46.3,74.4
2.2,45.5,32.5
5.5,49.1,60.2
4.4,49.0,108.2
4.2,45.6,25.8
2.2,47.6,48.9
2.2,49.6,46.1
3.7,45.7,32.9
6.7,48.2,54.0
5.1,48.7,54.7
3.8,49.6,15.5
5.1,48.0,40.1
3.0,47.5,28.9
2.8,47.3,22.0
3.8,46.6,61.0
6.3,47.3,48.3
4.5,45.9,36.7
3.5,48.4,42.2
6.8,46.1,53.4
6.1,45.2,65.3
3.6,47.3,92.7
6.9,49.0,66.6
6.9,46.2,76.9
4.0,49.1,66.2
5.3,48.6,22.9
4.0,48.1,38.6
3.3,47.9,56.8
2.4,46.4,54.0
3.3,47.4,36.5
3.4,46.2,39.3
4.0,45.7,45.4
2.9,47.9,41.1
6.8,48.9,72.3
2.5,47.2,58.6
5.1,48.7,64.3
4.2,48.5,49.5
4.1,47.3,38.4
3.9,48.7,56.5
6.3,46.6,73.7
3.4,49.0,74.4
2.1,46.7,55.2
6.6,48.4,23.6
6.3,48.4,37.2
3.4,47.1,47.0
4.6,48.6,65.1
2.5,49.5,91.2
2.5,45.3,35.4
6.2,46.5,40.7
4.1,45.6,59.3
5.3,45.9,53.7
6.7,46.0,43.4
3.2,49.8,44.7
2.1,48.5,72.5
2.1,47.9,29.3
5.5,47.9,42.4
6.6,45.5,60.4
4.3,46.8,77.5
3.9,49.5,48.5
4.7,45.1,42.9
6.3,45.1,33.4
5.3,46.4,36.5
3.2,48.2,40.1
5.9,49.3,35.3
2.7,45.2,34.8
2.8,47.6,60.6
5.1,48.1,42.6
3.2,45.3,32.3
5.5,47.4,44.6
3.7,49.5,45.7
3.4,46.8,41.4
7.0,47.3,30.1
2.2,47.8,56.8
5.2,45.7,51.3
2.2,47.3,38.2
5.8,47.6,43.6
3.2,45.8,54.6
2.4,48.8,52.0
5.2,45.6,26.4
5.7,46.2,47.3
5.4,48.2,34.7
2.3,46.4,38.7
3.5,45.5,33.6
4.3,47.4,31.2
3.4,46.7,87.7
6.1,47.2,35.7
2.7,45.9,63.3
5.1,49.9,51.9
6.9,45.7,16.0
6.5,46.5,53.8
3.1,47.5,87.1
2.0,49.6,56.9
6.9,45.4,52.8
6.4,48.1,37.9
6.6,45.8,54.1
4.1,48.3,81.9
5.7,47.9,38.9
3.1,49.0,34.8
4.0,45.2,46.4
6.3,45.6,84.5
2.6,48.5,28.9
6.5,46.1,91.7
4.5,45.0,37.2
4.1,49.4,65.1
3.5,49.8,42.1
6.6,46.4,61.9
4.6,46.7,59.7
6.0,46.5,44.2
6.3,48.2,14.3
6.6,47.2,-4.9
3.5,45.4,47.4
3.7,48.2,57.6
5.0,48.9,59.6
4.2,49.7,17.3
6.7,47.0,30.3
4.0,45.4,40.9
4.4,45.9,66.6
5.1,47.3,70.3
4.0,48.4,36.0
7.0,48.3,31.3
2.5,48.9,52.2
3.1,47.7,57.4
3.6,49.2,50.5
2.7,46.1,66.4
3.4,46.6,60.4
5.9,45.6,68.9
4.6,47.1,70.3
2.2,47.8,45.6
6.9,47.3,20.8
5.1,46.6,82.3
2.3,45.8,52.3
5.3,48.6,34.1
3.9,47.6,44.4
2.7,48.7,60.2
4.8,48.1,22.8
5.6,48.0,16.4
5.4,49.9,40.7
3.2,49.2,84.7
4.6,47.8,66.9
4.7,46.5,66.7
5.6,45.9,45.9
3.8,49.8,47.4
6.0,49.9,69.1
5.1,49.7,48.6
2.2,45.7,49.3
4.7,48.5,46.3
6.3,48.2,40.1
4.8,47.1,59.2
2.9,46.2,36.5
4.6,49.2,44.1
5.8,48.9,37.7
2.6,48.3,42.0
6.1,48.2,56.2
2.8,49.1,65.6
4.7,46.9,52.7
3.9,48.7,58.9
3.2,46.5,56.6
5.2,49.7,59.7
2.2,46.6,48.2
5.8,48.8,41.7
4.6,48.7,44.5
6.4,49.0,52.9
4.6,49.3,47.6
2.2,48.0,31.8
2.7,46.0,32.5
6.0,46.2,30.4
4.5,45.8,34.2
4.2,48.7,52.0
3.6,47.8,65.2
3.4,47.4,28.3
6.8,49.4,69.1
4.2,45.4,51.3
6.4,46.9,77.1
5.2,45.7,63.9
6.3,45.0,34.3
6.3,46.9,30.4
6.8,47.5,74.5
5.5,45.3,17.6
6.0,47.1,45.1
5.7,46.1,75.3
5.0,47.3,69.4
5.6,48.8,42.6
5.6,47.1,59.2
2.2,45.7,57.6
4.6,47.8,50.2
6.0,45.7,67.5
3.2,49.3,45.4
4.3,48.2,76.2
4.2,45.2,47.5
4.0,47.6,50.3
2.6,47.4,68.2
4.6,49.2,25.3
4.2,49.2,38.4
5.3,48.7,81.1
4.7,49.1,52.6
2.1,48.1,58.6
2.2,48.0,55.9
5.5,46.7,43.9
5.5,47.2,41.1
6.8,47.8,27.3
6.4,47.3,47.1
4.3,48.4,49.0
5.1,46.9,67.0
4.3,48.5,77.6
3.1,46.7,58.0
3.9,47.8,59.2
2.5,49.1,45.2
5.3,48.9,41.6
3.0,46.7,49.9
4.4,48.7,60.2
6.8,47.1,28.1
2.2,45.3,57.0
2.8,45.2,35.7
3.5,49.4,45.5
6.7,45.6,27.4
6.5,48.8,67.9
2.8,46.9,85.2
6.9,46.1,41.8
5.8,46.2,47.7
4.7,47.6,61.5
6.7,49.7,79.0
6.4,47.8,52.6
4.0,47.6,36.0
5.3,46.8,53.1
5.2,45.7,64.7
3.6,45.6,72.8
2.9,47.7,55.6
4.3,47.0,50.2
3.3,46.6,55.0
3.8,46.2,59.0
6.8,48.9,63.6
4.3,49.9,34.0
5.4,46.4,38.1
3.7,48.7,77.4
7.0,45.8,36.0
5.3,48.6,34.6
3.0,46.3,65.6
2.5,49.4,35.6
6.7,45.7,50.0
6.7,47.6,37.3
5.1,48.5,23.7
2.1,45.7,104.9
3.1,48.6,29.0
6.0,49.5,73.4
6.4,48.7,75.0
4.3,46.7,42.4
3.8,46.4,49.9
3.4,45.1,31.3
2.6,48.5,34.2
2.6,49.9,63.5
6.8,49.3,49.2
6.0,45.6,32.6
2.8,49.2,52.4
3.0,48.0,52.7
5.3,45.5,54.2
5.8,48.3,18.1
6.1,45.3,93.3
2.8,45.1,62.5
6.9,48.7,41.5
3.1,49.1,35.3
4.9,46.8,52.1
4.9,45.6,63.3
6.8,47.2,54.4
5.3,47.8,35.3
4.9,47.8,52.1
4.6,48.6,73.4
5.8,49.3,52.1
2.5,49.9,29.1
2.0,47.4,37.0
6.8,46.5,31.6
4.5,46.6,41.1
3.6,46.1,57.8
3.8,48.2,77.8
6.0,47.1,28.1
3.9,48.4,66.6
5.9,46.1,70.3
4.2,48.1,58.2
6.2,49.4,30.5
2.4,49.2,29.9
4.4,49.9,48.7
4.3,47.4,40.7
3.3,45.7,22.9
6.7,46.3,19.4
6.5,49.1,88.8
4.2,47.2,27.0
2.5,48.6,54.0
3.0,48.5,76.3
3.4,48.4,66.3
4.4,45.1,52.4
3.7,48.4,48.1
5.9,48.1,30.1
4.4,46.4,67.4
6.4,45.1,60.0
7.0,47.0,52.8
3.1,47.7,48.1
5.1,48.7,50.3
6.2,49.3,78.8
6.7,49.7,29.5
3.5,46.1,69.4
5.6,46.1,51.5
2.1,47.3,69.7
6.4,46.5,58.5
2.3,45.6,39.4
5.7,49.8,82.1
7.0,48.4,66.5
4.5,48.7,47.6
3.0,48.9,36.0
5.0,45.5,37.5
5.1,49.4,53.8
5.3,48.3,35.7
2.9,46.1,61.8
6.5,47.3,32.0
5.1,46.6,82.0
2.2,49.7,79.3
5.4,47.5,71.8
3.0,49.6,50.6
2.1,46.6,60.5
4.8,49.5,58.5
6.1,48.7,36.8
6.3,49.6,76.4
2.5,46.2,63.8
5.3,46.6,85.6
5.6,49.5,63.1
3.5,45.1,49.2
6.9,45.6,69.7
3.4,45.2,14.4
2.3,49.0,51.1
4.6,49.9,50.0
5.5,48.6,37.5
3.2,49.6,37.4
3.7,49.6,17.2
4.8,48.5,17.3
6.4,48.1,42.0
5.7,46.8,66.2
3.0,47.5,41.7
3.3,47.6,69.6
4.6,49.7,42.2
5.8,45.1,54.7
5.1,49.5,62.7
4.5,45.8,41.6
5.0,48.5,43.7
5.8,47.8,31.1
4.7,45.1,61.1
6.5,45.4,67.1
6.7,45.9,79.7
6.6,46.8,37.5
5.8,45.1,71.6
3.2,46.9,46.9
3.9,45.2,70.4
3.4,48.8,52.8
5.3,49.1,49.7
3.6,47.8,64.0
5.8,45.9,84.1
2.6,48.5,61.4
5.9,45.6,77.0
4.9,49.8,62.3
6.2,45.8,73.5
4.2,48.3,61.1
5.1,48.7,38.5
4.8,47.8,71.6
6.9,45.3,73.7
5.8,49.2,48.6
4.7,49.0,37.1
2.9,48.5,22.8
6.5,45.8,42.8
3.0,45.7,30.0
5.3,48.1,44.1
6.7,45.7,39.2
3.1,48.9,39.4
3.1,46.7,57.7
6.3,45.7,71.5
6.1,46.4,17.0
3.8,46.1,44.0
3.3,46.9,42.5
2.6,48.2,47.7
6.9,48.5,73.1
6.2,49.2,51.6
6.5,47.9,22.6
4.6,47.8,52.8
2.6,45.9,34.9
2.3,45.4,70.5
3.7,49.7,35.0
6.6,46.5,51.9
6.7,46.5,27.2
6.2,49.9,37.8
2.8,45.1,22.0
4.1,49.6,40.7
3.2,45.7,28.9
3.0,47.6,81.8
5.4,45.4,43.7
4.4,45.1,49.4
3.6,47.8,52.1
2.5,47.4,60.8
4.7,46.2,43.3
3.7,47.8,41.7
4.0,49.0,33.4
3.6,48.4,56.5
3.9,46.3,37.6
4.8,48.1,40.2
2.1,46.3,63.6
6.2,47.7,35.2
6.6,47.1,39.8
4.8,47.5,52.1
3.3,47.7,38.9
7.0,46.5,27.7
3.9,47.3,64.7
5.5,49.3,67.2
5.4,49.4,34.6
4.2,45.7,62.4
3.0,48.4,51.7
6.8,47.8,44.7
2.3,48.4,76.3
4.4,46.0,18.8
3.1,47.7,45.8
3.5,49.2,53.0
6.1,48.7,61.0
3.8,49.8,24.7
2.4,49.3,57.2
3.0,48.9,55.9
6.3,49.0,75.4
6.9,47.0,36.8
3.3,47.0,67.0
5.4,46.0,45.0
2.4,49.5,37.6
5.6,47.8,36.2
4.1,49.9,32.3
6.6,45.4,60.2
3.6,49.1,51.8
6.7,45.1,54.0
4.5,48.5,65.3
3.7,46.4,49.6
5.2,49.4,70.5
3.2,47.3,60.9
3.1,47.7,55.2
3.0,48.1,43.3
6.8,49.2,74.2
4.5,49.1,18.4
5.8,48.9,53.6
4.4,49.0,58.0
4.9,48.1,58.2
4.9,45.5,48.2
6.9,45.9,97.9
5.3,48.4,46.5
3.2,46.0,15.6
2.1,47.4,47.7
3.1,45.3,50.2
4.3,45.3,30.2
4.0,45.3,65.3
6.1,45.8,55.6
5.9,47.5,25.4
2.4,47.1,55.4
6.8,48.8,61.3
4.6,47.2,64.4
5.0,48.0,5.3
4.0,46.2,43.4
5.2,49.3,57.9
6.4,47.8,58.9
5.4,49.3,56.4
6.9,46.2,37.3
5.5,49.9,57.3
6.1,46.3,67.0
2.2,48.3,59.4
5.4,45.8,56.9
5.3,45.3,72.9
2.5,48.2,71.8
6.2,49.3,38.4
5.1,45.4,39.2
2.5,47.7,71.7
5.0,49.3,27.9
4.4,48.6,66.7
3.2,48.0,29.3
2.1,48.3,64.9
3.8,48.4,60.3
5.1,49.6,53.2
3.6,46.3,59.6
3.5,49.1,34.5
5.8,48.6,65.1
5.8,46.0,72.4
5.6,49.0,18.2
2.5,46.0,74.4
4.6,45.6,31.2
4.8,47.7,31.8
5.7,45.0,36.0
6.5,49.4,68.5
3.8,46.6,2.3
4.1,47.2,42.9
5.7,46.5,38.6
5.3,49.1,44.0
4.8,47.1,36.9
3.8,48.4,59.1
3.0,45.9,43.6
2.9,45.3,40.4
2.4,47.9,67.8
2.4,47.7,37.4
6.2,48.2,44.2
3.9,49.0,51.5
2.3,46.9,25.0
6.5,49.3,25.4
3.1,45.3,50.1
3.3,45.7,59.5
3.0,47.6,81.6
6.8,47.6,36.8
2.6,47.3,55.9
5.6,45.7,40.9
6.7,48.3,53.0
5.3,46.9,34.1
6.3,46.4,58.8
3.2,45.9,43.4
5.4,49.5,41.1
5.5,49.0,54.8
4.3,45.8,61.3
6.4,45.1,92.0
5.5,45.6,52.1
6.5,45.6,57.4
5.8,48.8,49.8
4.6,47.0,61.3
4.5,46.8,54.5
4.3,47.2,89.9
2.1,48.7,62.0
4.7,48.3,64.2
4.1,48.6,55.9
2.8,48.0,51.9
2.6,46.5,43.0
4.2,46.5,29.1
2.2,46.4,49.0
6.9,49.7,51.8
3.9,45.6,42.4
3.9,46.4,71.0
2.3,49.1,50.8
4.1,49.9,45.7
2.1,46.1,59.1
2.2,49.9,43.5
3.7,48.7,50.4
6.1,46.9,22.2
4.3,46.7,66.5
2.1,49.3,40.0
2.8,46.4,29.1
5.7,46.6,51.4
5.7,45.1,72.8
5.8,47.5,24.1
3.8,46.1,71.2
3.8,50.0,36.9
6.0,45.8,49.2
4.0,49.4,64.3
5.6,45.7,70.4
4.9,47.0,41.1
3.8,48.1,80.4
2.4,49.6,55.8
2.6,49.5,53.7
6.4,46.0,44.9
4.3,45.9,46.2
7.0,48.6,78.6
3.8,46.2,46.0
3.2,49.8,59.9
3.8,45.2,80.2
3.7,45.9,43.4
5.2,45.6,54.9
2.1,48.4,62.3
5.8,45.1,56.8
4.1,47.8,36.2
4.2,48.9,49.1
4.4,45.6,56.7
4.2,45.7,63.2
4.5,45.8,32.3
3.7,45.7,56.2
4.3,48.7,55.7
4.0,46.7,75.0
4.6,47.6,71.6
5.1,45.1,60.4
3.2,49.0,76.7
4.5,45.1,55.8
5.0,49.8,41.4
2.1,49.9,70.1
4.6,45.2,46.9
3.2,45.4,54.5
4.0,47.7,92.6
6.1,46.7,32.8
3.6,48.2,72.0
4.4,48.3,78.9
2.1,45.1,83.2
3.5,46.1,68.6
5.2,48.4,39.0
3.6,46.0,38.4
3.0,45.2,35.1
3.5,47.7,20.0
6.8,45.8,63.3
2.4,49.5,46.9
4.3,49.1,44.2
2.3,48.8,37.0
4.7,49.2,50.3
2.7,49.0,43.5
5.2,49.0,49.1
3.3,50.0,33.7
5.5,48.8,51.0
3.7,47.4,78.7
2.0,48.4,55.6
3.5,45.7,50.8
2.4,45.2,30.2
4.5,46.4,48.9
3.4,47.4,77.2
5.2,45.9,40.3
4.5,48.9,78.6
2.2,49.5,69.4
3.6,46.1,36.2
4.4,48.7,46.5
4.9,46.3,54.4
2.5,46.7,67.2
5.2,46.3,43.0
3.7,46.1,47.9
2.9,46.4,66.9
6.0,46.8,51.3
2.3,45.9,74.0
6.6,49.3,51.0
5.5,45.3,33.3
4.4,48.3,72.3
2.1,47.3,55.9
4.0,47.7,56.2
5.2,49.5,37.4
6.3,45.9,46.8
5.1,46.3,36.9
4.0,47.0,21.2
4.2,46.2,70.5
6.4,49.0,64.6
3.8,45.9,45.8
2.3,47.9,39.6
4.2,45.3,40.2
7.0,45.4,100.2
3.9,45.1,41.7
3.0,48.0,53.3
2.2,47.7,38.0
2.9,47.5,43.4
3.6,46.5,77.3
4.9,47.7,44.8
5.3,47.4,56.5
2.2,48.3,46.1
6.7,46.6,41.4
3.2,46.2,39.7
2.7,48.6,60.4
4.7,48.5,32.1
5.4,45.8,61.4
3.5,48.6,55.7
5.3,48.3,21.4
3.5,49.5,28.0
6.5,48.5,45.0
6.4,49.7,44.0
2.4,48.8,25.4
2.8,45.4,52.3
5.5,49.1,75.1
2.0,46.2,54.7
6.1,48.5,38.1
3.8,47.6,51.8
5.7,49.2,48.2
2.2,45.5,52.7
3.0,48.4,80.5
2.4,46.7,55.7
2.9,46.5,68.8
3.9,45.9,60.2
4.5,46.8,56.2
6.6,45.0,54.1
5.1,48.9,44.3
5.5,47.4,65.4
2.4,48.7,57.8
3.4,46.5,70.2
7.0,48.5,56.4
4.8,48.3,41.0
5.9,49.0,67.6
2.2,46.4,35.4
2.4,49.9,44.7
2.5,47.6,56.4
2.1,46.6,51.2
6.6,47.3,21.6
3.3,49.5,39.0
7.0,48.0,28.4
5.7,48.2,88.4
3.3,49.3,48.0
7.0,45.6,79.7
6.3,46.6,47.4
2.8,48.8,59.7
2.9,48.7,46.1
5.4,49.9,70.0
2.4,47.1,79.8
4.9,45.3,60.7
2.3,48.3,41.1
3.1,48.5,42.3
6.7,48.1,59.8
4.5,47.9,41.1
4.9,46.4,39.3
3.3,46.6,66.2
4.2,49.7,51.1
2.7,48.3,28.8
4.6,47.1,53.7
2.3,48.7,45.2
2.2,47.4,65.7
5.4,47.6,47.3
2.3,49.6,36.4
4.6,49.3,76.9
3.3,45.8,65.3
2.9,48.3,38.6
4.9,49.7,51.0
3.5,49.2,66.7
4.3,46.9,29.9
2.7,47.5,63.3
2.6,48.8,39.7
2.5,49.6,38.2
2.4,47.9,48.2
4.8,46.7,52.1
5.8,47.4,35.2
6.0,49.3,29.8
6.8,47.8,28.3
2.8,47.1,55.4
2.7,47.2,46.3
4.3,46.0,46.7
6.3,48.4,56.5
5.8,46.8,58.9
4.8,46.7,44.6
2.8,49.0,51.1
4.0,47.9,60.5
5.6,47.7,63.4
3.9,46.0,50.7
2.2,48.9,48.0
4.9,49.5,41.3
5.6,47.4,23.6
5.6,49.8,63.1
2.8,47.7,27.2
3.7,46.0,66.3
4.0,45.2,37.5
4.1,48.6,40.5
2.6,47.0,50.5
3.9,49.3,21.4
4.5,48.8,33.5
5.6,46.2,47.5
4.8,46.5,84.0
4.0,45.4,34.5
6.6,48.6,66.8
5.0,49.1,26.0
6.9,47.4,46.1
6.3,48.1,30.1
5.4,46.0,62.9
6.5,49.8,34.6
7.0,46.6,68.9
3.1,48.7,63.2
5.5,47.8,9.3
6.6,47.9,28.3
2.1,49.9,55.1
6.0,49.8,45.7
2.4,46.3,59.2
6.6,48.2,71.4
5.1,45.9,63.8
2.8,48.8,90.1
2.2,48.0,20.7
6.1,49.6,35.5
2.7,48.4,45.6
6.7,47.4,53.6
2.5,46.5,61.9
6.2,45.8,59.9
4.1,46.3,59.0
6.4,49.1,59.7
5.8,49.7,101.5
6.3,49.2,77.7
4.4,49.1,48.0
5.6,46.6,35.0
