Pond_ID,Week,Avg_Water_Temperature,Development_Stage
Pond3,3,17.361165331174043,Early Tadpole
Pond4,1,22.599554089375857,Egg
Pond1,1,20.31265753973534,Egg
Pond4,8,22.20516061391465,Metamorph
Pond3,10,15.623413625112414,Metamorph
Pond1,11,16.477390919062266,Metamorph
Pond4,12,16.331169285874783,Adult
Pond4,13,21.87165505403331,Adult
Pond3,13,23.44440672633629,Adult
Pond1,12,22.496162320085872,Adult
Pond3,14,15.304721527335941,Adult
Pond1,2,23.672149810747232,Early Tadpole
Pond5,13,18.541466707931257,Adult
Pond2,3,18.971638325040825,Early Tadpole
Pond2,2,16.04869166532481,Egg
Pond2,3,22.37405206093819,Early Tadpole
Pond3,7,16.82283878475958,Late Tadpole
Pond5,1,20.639650920188366,Egg
Pond1,10,23.40709985877931,Adult
Pond4,8,15.892043287120561,Late Tadpole
Pond1,13,20.353355640155236,Adult
Pond4,10,17.332164115498014,Metamorph
Pond1,10,18.429268642782603,Metamorph
Pond5,10,19.739699414305562,Metamorph
Pond4,14,18.551043032793046,Adult
Pond3,2,21.48822840291576,Early Tadpole
