nr,CAS,molecule,toxicity
133,142-92-7,n-Hexylacetate,4.56
134,123-66-0,Ethylhexanoate,4.21
135,109-60-4,n-Propylacetate,3.23
136,111-15-9,2-Ethoxyethylacetate,3.5
137,108-59-8,Dimethylmalonate,4.03
138,87-91-2,Diethyll-(+)-tartrate,2.5
139,105-53-3,Diethylmalonate,4.01
140,123-25-1,Diethylsuccinate,3.09
141,141-28-6,Diethyladipate,4.05
142,110-40-7,Diethylsebacate,4.98
143,105-99-7,Dibutyladipate,4.85
144,818-61-1,2-Hydroxyethylacrylate,4.38
145,140-88-5,Ethylacrylate,4.6
146,106-63-8,Isobutylacrylate,4.79
147,999-61-1,2-Hydroxypropylacrylate,4.59
148,868-77-9,2-Hydroxyethylmethacrylate,2.76
149,80-62-6,Methylmethacrylate,2.5
150,75-05-8,Acetonitrile,1.49
151,107-12-0,Propionitrile,1.56
152,2243-27-8,n-Octylcyanide,4.3
153,764-13-6,"2,5-Dimethyl-2,4-hexadiene",4.46
154,513-81-5,"2,3-Dimethyl-1,3-butadiene",4.08
155,5194-50-3,"2,4-Hexadiene",3.61
156,5989-27-5,d-Limonene,5.29
157,77-73-6,Dicyclopentadiene,3.63
158,1647-16-1,"1,9-Decadiene",5.68
159,78-79-5,Isoprene,2.95
160,75-35-4,"1,1-Dichloroethylene",2.84
161,79-01-6,Trichloroethylene,3.47
162,127-18-4,Tetrachloroethylene,3.91
163,107-19-7,Propargylalcohol,4.56
164,818-72-4,1-Octyn-3-ol,5.49
165,110-65-6,"2-Butyne-1,4-diol",3.21
166,764-01-2,2-Butyn-1-ol,3.84
167,95-63-6,"1,2,4-Trimethylbenzene",4.19
168,2416-94-6,"2,3,6-Trimethylphenol",4.22
169,527-60-6,"2,4,6-Trimethylphenol",4.02
170,25167-83-3,Tetrachlorophenol,6.13
171,98-86-2,Acetophenone,2.87
172,100-51-6,Benzylalcohol,2.37
173,623-25-6,"1,4-Bis(chloromethyl)benzene",6.65
174,100-44-7,Benzylchloride,4.4
175,100-46-9,Benzylamine,3.02
176,100-52-7,Benzaldehyde,3.93
177,100-10-7,4-(Dimethylamino)-benzaldehyde,3.51
178,122-03-2,4-Isopropylbenzaldehyde,4.35
179,446-52-6,2-Fluorobenzaldehyde,4.96
180,104-88-1,4-Chlorobenzaldehyde,4.81
181,613-45-6,"2,4-Demethoxybenzaldehyde",3.92
182,1761-61-1,2-Hydroxy-5-bromobenzaldehyde,5.19
183,635-93-8,2-Hydroxy-5-chlorobenzaldehyde,5.31
184,90-02-8,2-Hydroxybenzaldehyde,4.73
185,121-33-5,3-Methoxy-4-hyroxybenzaldehyde,3.12
186,708-76-9,"2-Hydroxy-4,6-dimethoxybenzaldehye",4.83
187,653-37-2,Pentafluorobenzaldehyde,5.25
188,387-45-1,2-Chloro-6-fluorobenzaldehyde,4.23
189,874-42-0,"2,4-Dichlorobenzaldehyde",4.99
190,58-90-2,"2,3,4,6-Tetrachlorophenol",5.35
191,4901-51-3,"2,3,4,5-Tetrachlorophenol",5.74
192,3481-20-7,"2,3,5,6-Tetrachloroaniline",5.93
193,732-26-3,"2,4,6-tri-tert-Butylphenol",6.39
194,150-76-5,4-Methoxyphenol,3.27
195,120-07-0,N-Phenyldiethanolamine,2.39
196,103-83-3,"N,N-Dimethylbenzylamine",3.55
197,150-19-6,1-Hydroxy-3-methoxybenzene,3.22
198,150-78-7,"1,4-Dimethoxybenzene",3.07
199,5673-07-4,"2,6-Dimethoxytoluene",3.88
200,13608-87-2,"2,3,4-Trichloroacetophenone",5.05
201,95-95-4,"2,4,5-Trichlorophenol",5.34
202,88-06-2,"2,4,6-Trichlorophenol",4.64
203,937-20-2,"2,4-Dichloroacetophenone",4.21
204,70-69-9,4-Aminopropiophenone,3.01
205,102-27-2,N-Ethyl-m-toluidine,3.44
206,100-61-8,N-Methylaniline,3.03
207,121-69-7,"N,N-Dimethylaniline",3.27
208,91-66-7,"N,N-Diethylaniline",3.96
209,59-50-7,P-Chloro-m-cresol,4.4
210,24544-04-5,"2,6-Diisopropylaniline",4.1
211,10031-82-0,4-Ethoxybenzaldehyde,3.74
212,634-93-5,"2,4,6-Trichloroaniline",4.59
213,634-67-3,"2,3,4-Trichloroaniline",4.74
214,615-65-6,2-Chloro-4-methylaniline,3.59
215,71-43-2,Benzene,3.5
216,1746-23-2,p-t-Butylstyrene,3.51
217,100-42-5,Styrene,3.51
218,1745-81-9,2-Allylphenol,3.95
219,97-53-0,Eugenol,3.84
220,108-86-1,Bromobenzene,4.45
221,608-71-9,Pentabromophenol,6.72
222,106-37-6,"1,4-Dibromobenzene",5.28
223,118-79-6,"1,3,5-Tribromo2-hydroxybenzene",4.71
224,106-40-1,4-Bromoaniline,3.56
225,108-88-3,Toluene,3.42
226,108-90-7,Chlorobenzene,3.7
227,108-41-8,1-Chloro-3-methylbenzene,3.84
228,106-43-4,1-Chloro-4-methylbenzene,4.33
229,95-50-1,o-Dichlorobenzene,4.19
230,541-73-1,m-Dichlorobenzene,4.27
231,106-46-7,p-Dichlorobenzene,4.27
232,95-49-8,2-Chlorotoluene,4.23
233,95-73-8,"2,4-Dichlorotoluene",4.54
234,120-82-1,"1,2,4-Trichlorobenzene",4.8
235,87-61-6,"1,2,3-Trichlorobenzene",4.89
236,108-70-3,"1,3,5-Trichlorobenzene",4.74
237,95-94-3,"1,2,4,5-Tetrachlorobenzene",5.83
238,634-66-2,"1,2,3,4-Tetrachlorobenzene",5.29
239,87-86-5,Pentachlorophenol,6.04
240,771-60-8,Pentafluoroaniline,3.69
241,371-40-4,1-Amino-4-fluorobenzene,3.82
242,128-37-0,"2,6-Di-tert-butyl-4-methylphenol",5.78
243,108-95-2,Phenol,3.5
244,105-67-9,"2,4-Xylenol",3.86
245,95-65-8,"3,4-Xylenol",3.94
246,95-75-0,"3,4-Dichlorotoluene",4.74
247,1126-79-0,n-Butylphenylether,4.42
248,39905-57-2,4-Hexyloxyaniline,4.78
249,122-99-6,2-Phenoxyethanol,2.6
250,95-48-7,o-Cresol,3.9
251,108-39-4,m-Cresol,3.29
252,106-44-5,p-Cresol,3.76
253,95-57-8,o-Chlorophenol,4
254,106-48-9,p-Chlorophenol,4.46
255,120-83-2,"2,4-Dichlorophenol",4.3
256,62-53-3,Aniline,3.03
257,95-51-2,o-Chloroaniline,4.35
258,106-47-8,p-Chloroaniline,3.62
259,95-76-1,"3,4-Dichloroaniline",4.32
260,554-00-7,"2,4-Dichloroaniline",4.07
261,106-49-0,4-Methylaniline,2.83
262,95-47-6,o-Xylene,3.81
263,108-38-3,m-Xylene,3.82
264,106-42-3,p-Xylene,4.21
265,1689-84-5,"1-Cyano-3,5-dibromo-4-hydroxybenzene",4.3
266,5922-60-1,1-Cyano-2-amino-5-chlorobenzene,3.73
267,6575-09-3,2-Cyano-6-methyl-benzonitrile,4
268,529-19-1,1-Cyano-2-methylbenzene,3.42
269,100-47-0,Benzonitrile,2.98
270,100-41-4,Ethylbenzene,3.59
271,141-93-5,m-Diethylbenzene,4.51
272,123-07-9,p-Ethylphenol,4.07
273,589-16-2,4-Ethylaniline,3.22
274,104-13-2,4-Butylaniline,4.17
275,16245-79-7,4-Octylaniline,6.24
276,37529-30-9,4-Decylaniline,6.57
277,80-46-6,p-tert-Amylphenol,4.8
278,98-54-4,p-tert-Butylphenol,4.47
279,89-83-8,Thymol,4.67
280,98-82-8,Cumene,4.23
281,538-68-1,n-Pentylbenzene,4.94
282,25154-52-3,Nonylphenol,6.22
283,131-11-3,Dimethylphthalate,3.7
284,84-66-2,Diethylphthalate,4.12
285,84-69-5,Diisobutylphthalate,5.49
286,84-74-2,Dibutylphthalate,5.33
287,84-62-8,Diphenylphthalate,6.6
288,93-89-0,Ethylbenzoate,4.23
289,1129-35-7,Methyl4-cyanobenzoate,3.54
290,94-09-7,Ethyl4-aminobenzoate,3.67
291,1126-46-1,Methyl4-chlorobenzoate,4.15
292,368-77-4,3-(Trifluoromethyl)benzonitrile,3.56
293,831-82-3,4-Phenoxyphenol,4.58
294,119-61-9,Benzophenone,4.11
295,101-84-8,Diphenylether,4.63
296,14548-46-0,4-Benzoylpyridine,3.25
297,122-39-4,Diphenylamine,4.65
298,118-55-8,Phenylsalicylate,5.27
299,97-23-4,"2,20-Methylenebis(4-chloro)phenol",5.94
300,91-94-1,"3,30-Dichlorobenzidine",5.09
301,92-52-4,Biphenyl,4.8
302,90-43-7,o-Phenylphenol,4.5
303,109-06-8,2-Methylpyridine,2.02
304,108-99-6,3-Methylpyridine,2.81
305,108-89-4,4-Methylpyridine,2.36
306,100-70-9,2-Pyridinecarbonitrile,2.16
307,500-22-1,3-Pyridinecarboxaldehyde,3.81
308,104-90-5,5-Ethyl-2-methylpyridine,3.17
309,1122-54-9,4-Acetylpyridine,2.86
310,5683-33-0,2-Dimethylaminopyridine,2.98
311,110-86-1,Pyridine,2.9
312,2859-67-8,3-Pyridinepropanol,2.96
313,2176-62-7,Pentachloropyridine,5.73
314,939-23-1,4-Phenylpyridine,3.98
315,91-20-3,Naphthalene,4.32
316,90-15-3,1-Naphthalenol,4.54
317,135-19-3,2-Naphthol,4.62
318,90-12-0,1-Methylnaphthalene,4.2
319,90-13-1,1-Chloronaphthalene,4.85
320,91-22-5,Quinoline,3.45
321,260-94-6,Acridine,4.89
322,253-52-1,Phthalazine,3.11
