chromosome	scaffold	position	Fst	piPop1	piPop2	piPop1_egg	piPop2_egg	TajDPop1	TajDPop2	thetaWPop1	thetaWPop2	SPop1	SPop2	Dxy	Dxy_egg	SampleNrPop1	SampleNrPop2	genome_pos	comp
CHR1	CHR1	1649999	0.0089	0.0105	0.0086	523.6301	471.6747	0.6455	0.8265	452.2039	392.8283	1669	1432	0.0097	0.0039	12	12	1649999	Belgium
CHR1	CHR1	1675006	0.0066	0.0111	0.0087	549.6354	477.5517	0.1431	0.2294	531.0483	452.356	1960	1649	0.01	0.0047	12	12	1675006	Belgium
CHR1	CHR1	1699996	0.0137	0.0099	0.008	494.3912	444.4412	-0.1907	0.4875	518.5849	397.7497	1914	1431	0.0092	0.0043	12	12	1699996	Belgium
CHR1	CHR1	1724791	0.0101	0.0092	0.0074	423.8456	371.2157	-0.1355	0.7035	438.3858	317.4215	1618	1142	0.0085	0.0028	12	12	1724791	Belgium
CHR1	CHR1	1750075	0.0213	0.0101	0.0082	459.3931	391.9775	0.1826	0.4804	439.7405	351.3317	1623	1264	0.0095	0.0033	12	12	1750075	Belgium
CHR1	CHR1	1775005	0.0216	0.0114	0.0104	557.9563	543.6649	0.4018	0.9512	508.0181	441.6575	1875	1610	0.0113	0.0045	12	12	1775005	Belgium
CHR1	CHR1	1800009	0.0064	0.0128	0.0113	606.7276	581.3809	0.2444	0.7716	572.5026	490.3079	2113	1764	0.0122	0.0056	12	12	1800009	Belgium
CHR1	CHR1	1825006	0.0041	0.0118	0.0097	577.1194	504.1097	0.0447	0.412	570.8769	458.6213	2107	1650	0.0109	0.0056	12	12	1825006	Belgium
CHR1	CHR1	1850000	0.0119	0.0109	0.0093	550.6068	489.5148	0.2164	0.2744	522.92	459.1772	1930	1652	0.0104	0.0054	12	12	1850000	Belgium
CHR1	CHR1	1874996	0.012	0.0114	0.0096	533.7681	463.1793	-0.0165	0.1778	535.9252	444.1678	1978	1598	0.0107	0.0052	12	12	1874996	Belgium
CHR1	CHR1	1899997	0.0084	0.0128	0.0103	583.9442	466.2996	0.1417	0.5105	564.3743	415.2607	2083	1494	0.0117	0.0045	12	12	1899997	Belgium
CHR1	CHR1	1924998	0.0148	0.0127	0.0098	614.9033	515.9337	0.4554	0.8077	553.2656	431.9379	2042	1554	0.0116	0.0045	12	12	1924998	Belgium
CHR1	CHR1	1950003	0.0094	0.0101	0.0085	500.3377	471.6563	0.1818	0.7307	479.0272	401.0852	1768	1443	0.0095	0.004	12	12	1950003	Belgium
CHR1	CHR1	1974997	0.0127	0.0096	0.0077	473.089	419.854	0.0814	0.3183	463.8544	389.9671	1712	1403	0.0089	0.0037	12	12	1974997	Belgium
CHR1	CHR1	1997889	0.0198	0.009	0.0065	349.2195	275.7989	0.2627	0.2029	328.112	262.9429	1211	946	0.008	0.0034	12	12	1997889	Belgium
CHR1	CHR1	2026376	0.0044	0.0081	0.0071	326.4649	312.1686	0.4723	0.8778	292.6184	257.6618	1080	927	0.0077	0.0031	12	12	2026376	Belgium
CHR1	CHR1	2050004	0	0.0089	0.0077	445.237	424.2321	0.2558	0.5749	418.8211	372.2542	1564	1357	0.0083	0.0037	12	12	2050004	Belgium
CHR1	CHR1	2075011	0.0152	0.0107	0.0087	520.6435	466.2889	0.2234	0.4488	493.6581	420.8198	1822	1514	0.01	0.004	12	12	2075011	Belgium
CHR1	CHR1	2100002	0.0205	0.0127	0.0107	618.7004	580.8793	0.2297	0.5437	585.7788	513.6558	2162	1848	0.0122	0.0047	12	12	2100002	Belgium
CHR1	CHR1	2124997	0.0154	0.0134	0.0123	623.007	621.3616	0.0096	0.4638	621.5432	558.9621	2294	2011	0.0132	0.0054	12	12	2124997	Belgium
CHR1	CHR1	2150002	0.0115	0.0139	0.0124	643.2767	627.8914	0.1802	0.9267	616.1244	513.3779	2274	1847	0.0134	0.0056	12	12	2150002	Belgium
CHR1	CHR1	2175001	0.0102	0.0134	0.0112	610.1129	560.6342	0.2603	1.0404	573.5863	448.3371	2117	1613	0.0125	0.0054	12	12	2175001	Belgium
CHR1	CHR1	2199993	0.0094	0.0137	0.0114	613.6517	552.9044	0.1321	0.5732	594.4489	485.8606	2194	1748	0.0128	0.0055	12	12	2199993	Belgium
CHR1	CHR1	2225012	0.0108	0.0114	0.0093	554.5237	508.3666	0.2878	0.6063	518.043	443.6119	1912	1596	0.0106	0.0048	12	12	2225012	Belgium
CHR1	CHR1	2249998	0.0194	0.0069	0.0063	350.4438	350.4344	0.6244	0.5787	303.6721	307.24	1134	1120	0.0068	0.0037	12	12	2249998	Belgium
CHR1	CHR1	2275003	0.0058	0.0065	0.0056	325.2864	300.1201	0.5056	0.2601	289.2115	282.2767	1080	1029	0.0061	0.0035	12	12	2275003	Belgium
CHR1	CHR1	2299999	0	0.0071	0.0054	356.2357	296.4916	0.2364	0.1905	336.61	283.374	1257	1033	0.0062	0.0037	12	12	2299999	Belgium
CHR1	CHR1	2324287	0	0.0077	0.0061	338.7997	284.754	0.3448	0.0892	312.2413	278.7106	1166	1016	0.0068	0.0033	12	12	2324287	Belgium
CHR1	CHR1	2350831	0.0107	0.0117	0.0094	514.2775	427.7828	0.2687	0.2955	482.5495	399.1377	1781	1455	0.0108	0.0048	12	12	2350831	Belgium
CHR1	CHR1	2375004	0.0123	0.0151	0.0132	742.9885	673.6035	0.3447	0.7159	685.2148	573.8804	2529	2092	0.0145	0.0069	12	12	2375004	Belgium
CHR1	CHR1	2399998	0.0113	0.0161	0.0141	755.9433	690.6051	0.2538	0.7123	711.7673	589.5368	2627	2121	0.0154	0.0071	12	12	2399998	Belgium
CHR1	CHR1	2425003	0.0108	0.0157	0.0135	718.0695	639.6737	0.2165	0.3683	681.9635	587.5912	2517	2114	0.0149	0.0071	12	12	2425003	Belgium
CHR1	CHR1	2449998	0.0041	0.0129	0.0118	609.7394	588.1677	-0.0829	0.0498	622.3561	581.1983	2297	2091	0.0125	0.0063	12	12	2449998	Belgium
CHR1	CHR1	2474998	0	0.0096	0.0085	457.8611	439.3866	-0.2912	-0.0575	493.2663	445.5575	1842	1603	0.009	0.0044	12	12	2474998	Belgium
CHR1	CHR1	2499996	0.001	0.0087	0.0069	427.4243	372.907	0.4397	0.0783	385.6153	365.9448	1440	1334	0.0079	0.0032	12	12	2499996	Belgium
CHR1	CHR1	2525007	0.0039	0.008	0.0072	410.4214	398.9249	0.6143	0.2885	356.4264	372.8028	1331	1359	0.0076	0.0036	12	12	2525007	Belgium
CHR1	CHR1	2550003	0	0.0113	0.0102	545.8522	519.6509	0.4671	0.5104	489.8649	462.7906	1808	1665	0.0107	0.0044	12	12	2550003	Belgium
CHR1	CHR1	2575004	0	0.0164	0.015	719.0967	666.4387	0.3423	0.3225	663.5394	618.4439	2449	2225	0.0157	0.0071	12	12	2575004	Belgium
CHR1	CHR1	2599999	0.0042	0.0121	0.0118	582.5981	572.6934	0.2765	0.2084	545.6792	545.3424	2014	1962	0.012	0.0057	12	12	2599999	Belgium
CHR1	CHR1	2624990	0.0078	0.0083	0.0079	421.3817	429.9693	0.4272	0.6384	381.4877	372.2542	1408	1357	0.0082	0.0034	12	12	2624990	Belgium
CHR1	CHR1	2649455	0.0058	0.0067	0.0061	320.5573	319.4927	0.2651	0.692	301.0177	273.4985	1111	997	0.0065	0.0026	12	12	2649455	Belgium
CHR1	CHR1	2675619	0	0.0097	0.0082	435.3917	386.3022	0.3505	0.3019	400.9956	359.9097	1480	1312	0.0089	0.004	12	12	2675619	Belgium
CHR1	CHR1	2700159	0	0.0148	0.0134	653.3825	603.3754	0.391	0.1524	596.3455	582.0321	2201	2094	0.0141	0.0068	12	12	2700159	Belgium
CHR1	CHR1	2725002	0.0022	0.0164	0.0153	699.4772	674.2421	0.3278	0.1754	647.5538	647.1726	2390	2296	0.0159	0.0075	12	12	2725002	Belgium
CHR1	CHR1	2749998	0	0.016	0.0143	684.7614	654.2412	0.2205	0.323	649.7213	607.0478	2398	2184	0.0151	0.0061	12	12	2749998	Belgium
CHR1	CHR1	2775055	0	0.0136	0.012	595.7134	540.9563	0.29	0.4395	556.246	489.196	2053	1760	0.0128	0.0056	12	12	2775055	Belgium
CHR1	CHR1	2799996	0.0078	0.0095	0.0076	449.1875	378.2519	0.5696	0.7399	394.2221	321.0349	1455	1155	0.0087	0.0037	12	12	2799996	Belgium
CHR1	CHR1	2825003	0.0088	0.0074	0.0058	370.6866	316.1827	0.561	0.841	325.6307	262.5256	1216	957	0.0067	0.0031	12	12	2825003	Belgium
CHR1	CHR1	2850008	0.0018	0.0106	0.0095	511.8917	485.0759	0.3558	0.6247	470.8989	421.6536	1738	1517	0.0101	0.004	12	12	2850008	Belgium
CHR1	CHR1	2874831	0.0096	0.0099	0.0091	426.163	407.7296	0.3739	0.5223	390.4289	362.1718	1441	1303	0.0097	0.0036	12	12	2874831	Belgium
CHR1	CHR1	2900488	0.0133	0.0042	0.0035	188.6389	169.5662	-0.071	-0.0452	192.0043	171.4509	717	625	0.004	0.0021	12	12	2900488	Belgium
CHR1	CHR1	2925001	0.0056	0.0044	0.0034	222.3531	201.7716	0.1326	0.1418	215.3019	195.0425	804	711	0.004	0.0019	12	12	2925001	Belgium
CHR1	CHR1	2950004	0.0067	0.0089	0.0069	465.6688	401.468	0.6367	0.8914	402.486	330.0087	1503	1203	0.008	0.0028	12	12	2950004	Belgium
CHR1	CHR1	2975005	0.0055	0.0137	0.0106	657.0019	540.9655	0.4633	0.6017	590.1138	472.5189	2178	1700	0.0123	0.0044	12	12	2975005	Belgium
CHR1	CHR1	2999999	0.0133	0.0158	0.0131	724.8115	614.5171	0.4441	0.6006	653.7854	537.5253	2413	1907	0.0148	0.0061	12	12	2999999	Belgium
CHR1	CHR1	3024993	0.0118	0.0167	0.0139	745.3565	653.2307	0.4104	0.775	677.8482	551.337	2471	1956	0.0157	0.0064	12	12	3024993	Belgium
CHR1	CHR1	3050007	0.0086	0.0163	0.0137	735.3494	651.5563	0.2836	0.6629	687.9981	562.6117	2508	1996	0.0153	0.0059	12	12	3050007	Belgium
CHR1	CHR1	3074923	0.0073	0.016	0.0128	701.598	578.7152	0.2082	0.5161	667.6035	514.7677	2464	1852	0.0146	0.0051	12	12	3074923	Belgium
CHR1	CHR1	3100094	0.0045	0.0156	0.0113	705.3817	536.212	0.3521	0.4018	649.4504	488.9181	2397	1759	0.0136	0.0045	12	12	3100094	Belgium
CHR1	CHR1	3124993	0.0093	0.0158	0.0125	776.0367	634.6826	0.4329	0.4663	701.7424	570.6361	2590	2053	0.0144	0.0057	12	12	3124993	Belgium
CHR1	CHR1	3150009	0.0163	0.0172	0.0134	836.3846	685.7445	0.3214	0.2731	775.4389	643.4596	2862	2315	0.0158	0.0063	12	12	3150009	Belgium
CHR1	CHR1	3175002	0.0217	0.0174	0.0131	718.1601	567.9064	0.0949	0.1261	701.9885	551.1794	2559	1983	0.0159	0.0063	12	12	3175002	Belgium
CHR1	CHR1	3199992	0.0145	0.0186	0.0141	727.1066	556.5608	0.0977	0.0615	710.1416	548.5183	2621	1946	0.0168	0.0086	12	12	3199992	Belgium
CHR1	CHR1	3225006	0.0132	0.0191	0.0148	876.582	704.9057	0.3518	0.1993	807.1392	672.6446	2979	2420	0.0174	0.0074	12	12	3225006	Belgium
CHR1	CHR1	3249996	0.021	0.0193	0.0155	908.9005	786.4041	0.343	0.3149	838.5686	731.0145	3095	2630	0.0181	0.0073	12	12	3249996	Belgium
CHR1	CHR1	3275002	0.0114	0.0195	0.0161	946.8294	827.4171	0.1982	0.4638	903.053	744.3563	3333	2678	0.0182	0.0075	12	12	3275002	Belgium
CHR1	CHR1	3299970	0	0.0174	0.0146	803.7008	705.4901	0.3152	0.5913	746.177	617.61	2754	2222	0.016	0.0052	12	12	3299970	Belgium
CHR1	CHR1	3325041	0.0062	0.0146	0.0109	671.1133	532.7706	0.1845	0.0345	642.1349	528.3873	2370	1901	0.0129	0.0047	12	12	3325041	Belgium
CHR1	CHR1	3349996	0.0075	0.0146	0.0105	709.4393	554.9795	0.1479	0.0821	684.673	544.2306	2527	1958	0.0127	0.0053	12	12	3349996	Belgium
CHR1	CHR1	3375006	0.0116	0.0155	0.0124	745.6308	635.5135	0.4229	0.8714	675.7318	525.3298	2494	1890	0.0143	0.0061	12	12	3375006	Belgium
CHR1	CHR1	3399993	0.0155	0.0145	0.0132	702.9985	655.055	0.3463	1.0897	648.0956	518.9369	2392	1867	0.0143	0.0063	12	12	3399993	Belgium
CHR1	CHR1	3425192	0.0172	0.0123	0.0124	602.1817	637.3912	0.0419	0.8466	596.0746	529.4991	2200	1905	0.0128	0.0061	12	12	3425192	Belgium
CHR1	CHR1	3450004	0.0342	0.0133	0.0129	655.9937	667.1963	0.2153	0.7316	623.1689	567.3006	2300	2041	0.014	0.0065	12	12	3450004	Belgium
CHR1	CHR1	3475003	0.0314	0.0155	0.0148	761.5048	748.7523	0.3827	0.7221	696.3235	637.9005	2570	2295	0.0161	0.0063	12	12	3475003	Belgium
CHR1	CHR1	3500002	0.0131	0.016	0.0143	757.1523	703.4678	0.3262	0.7567	701.2005	595.0959	2588	2141	0.0156	0.0066	12	12	3500002	Belgium
CHR1	CHR1	3524999	0.0293	0.0165	0.0141	750.0875	658.9224	0.494	0.7044	669.2292	563.4093	2470	2027	0.0162	0.0073	12	12	3524999	Belgium
CHR1	CHR1	3550002	0.0315	0.0158	0.0148	712.2893	685.966	0.1506	0.4167	687.1752	623.447	2505	2243	0.0163	0.0076	12	12	3550002	Belgium
CHR1	CHR1	3574993	0.0119	0.0135	0.0118	652.0956	602.6814	0.1712	0.5154	625.8783	536.17	2310	1929	0.0129	0.0067	12	12	3574993	Belgium
CHR1	CHR1	3599996	0.0079	0.0092	0.0062	469.0055	366.7492	0.3894	1.046	427.9259	292.4266	1598	1066	0.0078	0.004	12	12	3599996	Belgium
CHR1	CHR1	3624999	0.0163	0.0064	0.0045	326.6082	270.9608	0.0802	1.1424	320.2749	212.0505	1196	773	0.0056	0.0025	12	12	3624999	Belgium
CHR1	CHR1	3650001	0.0366	0.0065	0.0059	326.2453	326.4397	0.3955	0.928	297.2451	266.3661	1110	971	0.0066	0.0036	12	12	3650001	Belgium
CHR1	CHR1	3674722	0.0335	0.0102	0.0079	471.8692	381.3238	0.4876	0.9653	421.2312	308.8859	1573	1126	0.0097	0.0049	12	12	3674722	Belgium
CHR1	CHR1	3700117	0.0321	0.0132	0.0096	597.0316	451.4894	0.4025	0.9397	543.5117	367.5907	2006	1340	0.0121	0.0054	12	12	3700117	Belgium
CHR1	CHR1	3724997	0.0396	0.0081	0.0067	402.6967	356.3301	0.5093	0.8207	357.7653	297.0901	1336	1083	0.008	0.0037	12	12	3724997	Belgium
CHR1	CHR1	3750010	0.0254	0.0095	0.0076	472.8722	411.9684	0.3324	0.7706	437.302	347.0166	1614	1265	0.009	0.0039	12	12	3750010	Belgium
CHR1	CHR1	3774996	0.0287	0.0147	0.0116	720.9234	599.3263	0.3864	0.6877	658.6624	514.2117	2431	1850	0.0139	0.0062	12	12	3774996	Belgium
CHR1	CHR1	3799938	0.0263	0.0122	0.0094	547.1034	445.1561	0.3144	0.3942	508.0181	406.27	1875	1481	0.0114	0.0044	12	12	3799938	Belgium
CHR1	CHR1	3825125	0.0128	0.0128	0.0094	573.0623	466.8524	0.2788	0.2507	536.4671	440.2764	1980	1584	0.0114	0.004	12	12	3825125	Belgium
CHR1	CHR1	3849996	0.0209	0.0147	0.011	718.7412	604.2094	0.4633	0.5394	645.1023	534.7802	2409	1924	0.0134	0.0059	12	12	3849996	Belgium
CHR1	CHR1	3874999	0.0193	0.0126	0.0091	595.457	461.8579	0.2967	0.2371	555.1622	436.7197	2049	1592	0.0113	0.0058	12	12	3874999	Belgium
CHR1	CHR1	3900002	0.0085	0.0106	0.0069	495.0609	341.8008	0.0733	-0.165	486.3427	356.0692	1795	1298	0.0089	0.0043	12	12	3900002	Belgium
CHR1	CHR1	3925004	0.0063	0.0129	0.0104	622.6784	538.0026	0.0728	0.6722	611.7893	463.0685	2258	1666	0.0118	0.0052	12	12	3925004	Belgium
CHR1	CHR1	3950002	0.0054	0.0157	0.0138	614.4546	551.7213	0.2523	0.9642	578.7342	447.7811	2136	1611	0.0149	0.0065	12	12	3950002	Belgium
CHR1	CHR1	3974996	0.0157	0.014	0.0117	433.7349	348.7863	0.2933	0.4558	404.8984	314.5665	1476	1116	0.0133	0.0056	12	12	3974996	Belgium
CHR1	CHR1	3999932	0.0223	0.0129	0.0116	503.4886	448.9675	0.1765	0.3401	482.8057	414.9828	1760	1493	0.0128	0.004	12	12	3999932	Belgium
CHR1	CHR1	4025117	0.0199	0.0132	0.0116	527.7557	466.1426	0.3505	0.4921	486.3719	417.167	1773	1480	0.0129	0.0042	12	12	4025117	Belgium
CHR1	CHR1	4050002	0.0199	0.0125	0.0106	517.9843	452.8456	0.3898	0.8564	473.2045	376.0141	1725	1334	0.012	0.0039	12	12	4050002	Belgium
