individual_ID,sex,age_days_post_moult,body_mass_g,autotomy_regime,personality_PC1_pre,personality_category,OFT_pre_T1_latency_first_move_s,OFT_pre_T1_total_distance_cm,OFT_pre_T1_time_exposed_zone_s,OFT_pre_T1_time_central_zone_s,OFT_pre_T1_freezing_bouts_n,OFT_pre_T2_latency_first_move_s,OFT_pre_T2_total_distance_cm,OFT_pre_T2_time_exposed_zone_s,OFT_pre_T2_time_central_zone_s,OFT_pre_T2_freezing_bouts_n,OFT_pre_T3_latency_first_move_s,OFT_pre_T3_total_distance_cm,OFT_pre_T3_time_exposed_zone_s,OFT_pre_T3_time_central_zone_s,OFT_pre_T3_freezing_bouts_n,PCRT_pre_T1_latency_resume_s,PCRT_pre_T1_total_freeze_duration_s,PCRT_pre_T1_shelter_seeking_latency_s,PCRT_pre_T2_latency_resume_s,PCRT_pre_T2_total_freeze_duration_s,PCRT_pre_T2_shelter_seeking_latency_s,PCRT_pre_T3_latency_resume_s,PCRT_pre_T3_total_freeze_duration_s,PCRT_pre_T3_shelter_seeking_latency_s,autotomy_latency_s,autotomy_censored,autotomy_occurred,sham_pinch_duration_s,OFT_post_T1_latency_first_move_s,OFT_post_T1_total_distance_cm,OFT_post_T1_time_exposed_zone_s,OFT_post_T1_time_central_zone_s,OFT_post_T1_freezing_bouts_n,OFT_post_T2_latency_first_move_s,OFT_post_T2_total_distance_cm,OFT_post_T2_time_exposed_zone_s,OFT_post_T2_time_central_zone_s,OFT_post_T2_freezing_bouts_n,OFT_post_T3_latency_first_move_s,OFT_post_T3_total_distance_cm,OFT_post_T3_time_exposed_zone_s,OFT_post_T3_time_central_zone_s,OFT_post_T3_freezing_bouts_n,PCRT_post_T1_latency_resume_s,PCRT_post_T1_total_freeze_duration_s,PCRT_post_T1_shelter_seeking_latency_s,PCRT_post_T2_latency_resume_s,PCRT_post_T2_total_freeze_duration_s,PCRT_post_T2_shelter_seeking_latency_s,PCRT_post_T3_latency_resume_s,PCRT_post_T3_total_freeze_duration_s,PCRT_post_T3_shelter_seeking_latency_s,personality_PC1_post
GB011,M,13,1.01,sham,-0.949,Shy,87.6,327,196,39,37,56.5,374,156,16,26,127.8,1072,194,36,65,106.5,106.1,7.2,89.0,70.4,19.3,64.1,228.0,8.6,,,,21.8,140.4,488,117,23,21,116.0,432,133,19,22,111.6,221,112,2,35,46.0,216.7,76.3,62.3,295.0,44.6,49.6,282.3,43.0,-0.948
GB012,F,13,1.2,sham,-0.836,Shy,134.6,342,198,13,65,44.5,167,198,0,66,89.7,326,213,1,21,73.3,85.3,115.5,46.7,112.4,93.9,66.6,122.6,147.8,,,,26.0,133.2,416,208,23,12,80.1,436,154,20,15,86.8,289,171,28,20,97.8,175.8,118.6,98.4,123.6,64.9,169.4,83.2,105.4,-0.8
GB013,M,20,1.23,autotomy,0.233,Intermediate,26.6,1771,247,104,12,44.4,1128,226,121,9,26.0,1839,226,98,15,20.1,79.9,300.0,38.4,100.3,149.7,13.9,68.1,58.5,19.6,False,True,,74.2,869,291,36,12,74.9,624,261,46,7,135.4,673,253,36,26,11.7,35.5,19.1,15.4,50.8,20.7,8.9,29.9,16.9,-0.117
GB014,M,14,0.96,sham,-0.358,Shy,32.7,508,161,83,10,85.1,1457,171,68,6,38.7,495,168,85,7,12.4,69.1,50.1,22.7,137.5,59.3,13.6,84.9,65.3,,,,18.2,90.4,808,206,78,24,40.8,718,183,89,24,50.9,884,221,41,17,23.2,54.1,49.6,64.5,58.9,48.1,30.7,64.6,38.2,-0.276
GB015,F,11,1.16,autotomy,-3.378,Shy,598.0,153,10,0,64,598.0,138,10,0,42,598.0,159,10,0,65,299.0,295.0,3.9,299.0,295.0,6.1,299.0,295.0,4.0,30.0,True,False,,598.0,50,10,0,51,598.0,50,10,0,55,598.0,50,10,0,72,299.0,295.0,2.0,299.0,295.0,3.5,299.0,295.0,2.0,-3.841
GB016,F,9,1.38,autotomy,-0.168,Intermediate,8.6,381,192,67,4,15.3,598,197,69,6,11.0,369,271,67,3,15.3,73.2,61.4,10.1,66.0,96.3,10.7,47.6,71.4,30.0,True,False,,22.6,1115,189,67,13,64.5,754,226,62,25,61.0,854,199,62,14,16.5,51.0,66.2,28.2,54.9,65.9,43.9,64.8,61.4,-0.307
GB017,F,18,1.17,sham,-0.418,Shy,56.8,337,154,23,35,30.3,392,213,51,13,38.4,248,205,54,15,20.2,123.3,37.3,22.9,52.5,23.1,29.2,198.0,31.7,,,,26.0,20.9,494,211,76,10,9.8,858,265,44,16,14.7,426,245,54,19,27.2,99.3,52.0,21.3,125.3,33.1,34.4,40.7,37.1,-0.257
GB018,M,14,0.92,autotomy,0.793,Bold,3.5,386,294,117,5,3.1,374,284,134,12,3.1,540,274,124,1,20.1,15.1,214.5,5.8,9.4,112.4,5.3,19.4,80.9,2.4,False,True,,9.2,1205,232,116,10,30.2,702,233,104,22,9.5,1340,204,92,36,13.4,44.7,27.9,15.6,53.6,154.3,12.8,37.7,200.1,0.332
GB019,F,12,1.25,autotomy,-0.463,Shy,119.6,594,158,46,20,182.5,662,168,36,18,152.7,340,152,43,21,55.1,141.7,62.7,32.4,65.1,49.2,15.8,89.4,44.1,30.0,True,False,,78.1,221,158,47,44,45.7,191,140,40,10,28.8,230,122,14,11,17.0,214.0,12.5,20.0,225.1,17.3,21.7,295.0,25.2,-0.89
GB020,F,17,1.26,sham,2.639,Bold,1.5,2000,496,196,0,5.0,2000,505,195,0,3.2,2000,483,203,1,1.3,1.6,300.0,1.0,2.5,300.0,1.8,2.3,300.0,,,,3.8,1.0,2000,444,202,1,1.0,2000,468,210,0,1.0,2000,429,197,0,1.6,3.9,300.0,1.5,2.8,300.0,1.8,1.8,269.1,2.828
GB021,F,9,1.18,autotomy,1.497,Bold,3.9,2000,318,175,5,4.9,1078,295,163,8,6.7,1542,256,150,9,9.7,5.2,300.0,9.8,12.0,266.3,8.8,6.3,280.8,2.9,False,True,,55.6,631,215,88,26,67.9,627,235,93,21,51.8,876,257,105,4,12.6,7.6,57.9,13.5,9.7,145.1,14.6,8.1,149.7,0.482
GB022,M,7,1.13,sham,-0.49,Shy,56.7,374,172,58,21,33.1,499,172,55,12,40.2,815,163,80,19,30.7,121.9,122.9,30.1,154.4,206.9,40.8,175.4,63.4,,,,26.0,51.2,380,140,50,18,38.7,198,152,35,26,47.5,529,144,35,13,77.1,168.1,14.3,71.3,185.5,8.6,44.2,187.4,35.0,-0.548
GB023,M,9,0.98,sham,1.05,Bold,31.5,685,322,156,3,45.8,494,353,141,2,22.9,616,350,127,7,5.3,48.9,93.4,3.9,13.5,123.6,11.6,40.0,96.9,,,,3.6,7.2,1843,311,161,2,4.9,1734,291,166,2,8.8,2000,321,169,1,18.9,6.5,300.0,17.8,21.5,231.5,9.8,14.5,300.0,1.21
GB024,F,11,1.24,autotomy,0.625,Bold,16.3,2000,228,122,6,13.6,1599,264,121,12,13.3,1463,245,97,13,8.0,41.0,125.3,12.2,22.6,163.4,3.2,27.0,102.0,16.6,False,True,,132.0,699,130,47,5,184.6,499,156,51,8,126.5,432,120,67,12,45.8,24.8,43.1,35.6,17.3,39.3,24.8,31.8,31.8,-0.477
GB025,M,21,1.06,autotomy,0.133,Intermediate,34.1,483,223,60,8,31.5,512,182,31,15,41.6,684,216,68,12,36.2,21.5,132.1,26.7,17.9,65.5,34.3,54.2,82.4,10.1,False,True,,21.6,734,212,47,13,16.2,646,214,76,22,17.9,600,186,61,18,12.9,40.3,16.3,23.0,76.6,7.5,26.9,37.8,24.8,-0.161
GB026,M,20,1.31,sham,0.703,Bold,9.5,2000,291,120,8,23.5,2000,299,87,4,15.9,2000,286,83,7,19.5,6.0,144.5,19.3,11.5,52.7,8.9,15.7,51.5,,,,15.2,9.7,2000,289,114,1,13.9,2000,250,141,7,9.5,2000,243,129,6,3.6,32.8,300.0,6.5,24.2,239.3,5.5,15.1,300.0,0.754
GB027,M,9,0.92,sham,-0.046,Intermediate,99.9,741,244,69,49,66.4,282,175,62,17,29.5,620,238,66,23,26.3,36.3,73.4,9.6,45.6,143.4,14.2,63.9,163.5,,,,9.8,15.6,584,180,90,7,22.1,903,178,64,3,37.7,332,162,56,4,36.4,21.7,103.6,45.5,36.5,56.4,38.8,24.8,121.7,-0.157
GB028,F,7,1.26,autotomy,0.34,Intermediate,57.6,361,245,89,7,40.6,456,194,82,0,21.8,836,245,79,3,3.6,19.7,176.2,5.8,23.0,149.5,7.6,56.5,108.6,30.0,True,False,,59.7,637,214,95,10,43.6,671,230,117,27,52.0,382,242,107,6,35.3,45.1,43.9,44.4,32.5,25.8,45.7,58.0,10.5,-0.177
GB029,F,11,1.08,sham,0.923,Bold,11.2,1509,265,137,4,14.7,797,278,133,8,12.7,946,271,131,8,8.0,7.6,139.6,8.2,17.6,150.4,7.7,28.6,144.8,,,,10.2,19.6,826,272,105,7,26.0,803,271,122,5,10.1,1498,329,134,1,27.6,6.7,300.0,10.5,15.5,191.3,19.1,15.3,188.3,1.056
GB030,F,16,1.14,sham,2.152,Bold,1.0,1101,344,179,0,1.8,1882,386,175,0,1.7,2000,367,187,1,1.8,3.8,207.9,3.4,3.1,300.0,3.9,3.1,300.0,,,,1.8,2.0,668,435,188,0,3.4,760,457,169,0,2.7,888,440,172,0,1.7,3.8,300.0,1.5,5.7,300.0,3.1,6.3,297.3,2.138
GB031,M,13,0.98,autotomy,0.151,Intermediate,30.5,1242,228,67,9,36.3,875,219,82,3,23.9,929,208,89,13,16.5,48.2,252.2,6.4,35.7,165.1,10.4,63.8,107.5,15.8,False,True,,48.7,571,146,25,53,60.0,374,145,51,26,84.5,433,110,28,79,35.7,62.6,14.1,23.8,75.5,22.1,42.2,171.4,51.3,-0.485
GB032,F,21,1.27,sham,-0.354,Shy,45.6,733,130,88,19,34.0,425,176,92,25,44.2,295,131,75,10,21.1,137.9,43.0,30.4,78.2,54.3,26.3,118.5,15.2,,,,25.8,54.0,148,106,101,4,27.7,269,171,69,1,16.6,345,150,93,4,120.2,65.2,45.5,64.9,48.6,100.7,31.2,33.4,80.3,-0.301
GB033,M,20,1.11,sham,-2.129,Shy,415.3,243,52,0,65,245.4,146,61,0,62,473.7,171,45,0,63,217.0,295.0,31.2,299.0,295.0,14.8,183.4,295.0,29.7,,,,26.0,450.4,95,10,0,50,389.3,67,10,0,64,342.2,103,19,0,67,184.1,295.0,6.1,231.3,295.0,8.7,169.1,295.0,10.0,-2.191
GB034,F,13,1.19,sham,2.061,Bold,3.0,1358,412,148,4,2.9,2000,358,160,2,3.5,2000,379,169,0,1.4,6.2,196.4,1.4,10.7,300.0,1.0,3.2,300.0,,,,3.0,1.1,2000,327,179,0,2.6,2000,282,158,1,2.1,2000,323,140,0,2.2,6.2,300.0,5.8,2.5,300.0,2.4,3.3,300.0,2.094
GB035,M,17,0.96,sham,-0.363,Shy,49.5,1192,117,48,8,77.7,502,164,46,9,106.5,815,139,44,11,59.7,34.2,72.6,21.6,70.0,114.7,15.8,56.9,78.8,,,,26.0,71.4,626,208,54,10,86.1,530,171,78,4,101.9,437,195,74,11,26.4,35.7,39.7,19.2,18.0,24.8,21.3,15.7,44.2,-0.356
GB036,F,15,1.3,autotomy,0.635,Bold,27.3,2000,227,124,11,15.4,771,282,129,17,17.6,1479,247,114,9,14.2,13.9,87.6,7.6,20.8,91.5,12.4,8.9,142.6,21.6,False,True,,20.8,406,167,49,4,17.2,737,151,65,8,39.1,299,154,55,7,15.7,88.8,24.4,6.9,39.3,44.8,13.1,48.1,30.8,-0.108
GB037,M,21,0.97,sham,1.806,Bold,2.8,2000,353,179,2,2.6,1196,333,170,0,1.8,2000,347,182,1,5.2,9.8,300.0,4.3,9.7,300.0,11.5,9.5,300.0,,,,2.3,1.8,1330,366,131,3,1.8,1714,348,165,1,2.4,1893,353,186,0,2.1,8.9,198.6,2.2,4.6,300.0,2.0,7.2,300.0,1.914
GB038,M,21,1.04,sham,0.128,Intermediate,46.4,1342,197,96,4,30.5,1151,213,79,8,27.8,1605,236,89,3,32.9,23.1,81.4,51.6,39.3,74.2,92.3,30.0,96.4,,,,7.7,20.6,1649,228,89,8,23.5,843,228,98,0,25.3,1167,264,96,1,15.5,35.1,42.8,12.5,25.5,52.5,12.0,19.1,39.8,0.199
GB039,F,16,1.04,sham,-0.095,Intermediate,74.1,579,256,85,8,77.9,668,247,103,12,62.4,384,257,78,24,102.3,40.0,39.4,48.1,26.1,31.9,45.9,35.3,49.6,,,,14.4,11.9,561,177,104,29,15.2,636,194,83,25,9.1,596,207,65,29,23.2,26.4,66.1,22.2,14.1,47.7,36.7,11.6,49.3,-0.134
GB040,M,16,1.12,sham,1.32,Bold,1.4,2000,298,137,5,2.8,2000,299,118,3,4.2,2000,263,141,5,5.4,28.1,59.4,8.5,27.5,108.3,5.9,18.4,99.3,,,,4.8,19.6,947,331,153,4,10.2,842,294,154,0,12.0,1141,298,127,1,9.2,5.5,289.8,12.0,3.3,300.0,6.9,7.5,228.7,1.318
GB041,M,18,1.27,autotomy,0.361,Intermediate,12.6,1016,218,140,10,28.4,539,252,131,4,20.6,406,226,114,6,20.6,31.8,62.3,13.5,20.5,56.2,9.9,15.6,81.8,11.7,False,True,,17.9,635,154,76,5,69.5,469,142,45,7,21.5,666,129,35,4,9.1,31.3,164.2,8.5,31.8,101.5,27.5,21.8,126.4,-0.021
GB042,M,19,1.07,autotomy,0.486,Bold,17.9,1157,231,135,2,8.1,1006,240,110,0,17.9,839,245,119,2,29.8,18.6,241.0,54.5,43.9,124.5,20.6,33.6,132.4,4.6,False,True,,30.5,1497,251,84,4,24.7,979,256,85,4,40.5,1966,256,65,13,32.4,16.9,263.4,34.5,18.7,215.1,34.1,15.4,130.3,0.301
GB043,F,9,1.32,autotomy,-1.423,Shy,598.0,1101,88,0,55,598.0,511,133,0,36,517.1,375,87,0,65,53.3,172.1,25.3,43.8,217.7,50.7,70.1,116.2,30.0,30.0,True,False,,138.6,208,35,10,66,111.5,146,85,5,40,71.0,198,52,0,54,299.0,118.6,40.0,232.2,295.0,34.9,277.2,191.1,36.2,-1.654
GB044,M,21,1.04,autotomy,1.106,Bold,12.7,736,276,168,6,19.7,580,279,152,4,17.4,1005,259,163,8,2.7,7.3,200.2,4.6,5.3,227.0,5.5,2.4,300.0,11.9,False,True,,15.6,494,252,43,20,14.6,699,261,21,27,16.1,445,294,46,15,9.4,70.6,43.1,8.8,26.8,66.0,27.7,113.0,52.1,0.056
GB045,F,13,1.1,autotomy,0.476,Intermediate,55.9,930,277,95,9,57.9,1757,249,84,4,31.5,1577,235,90,8,11.9,36.9,72.3,6.3,22.8,185.6,3.6,23.0,87.9,11.2,False,True,,61.4,1154,167,51,69,32.5,1183,181,43,64,64.3,1586,141,38,34,11.0,57.1,71.8,47.4,58.2,37.7,31.9,42.7,26.7,-0.284
GB046,F,7,1.06,autotomy,-1.272,Shy,55.3,281,33,17,6,52.6,369,51,5,23,111.2,289,68,22,4,45.7,85.0,22.2,24.8,133.4,12.6,66.4,154.6,11.0,30.0,True,False,,93.1,325,21,0,22,367.8,566,47,14,38,72.5,394,44,20,8,23.6,150.0,32.7,34.1,172.0,31.8,19.0,286.5,24.6,-1.358
GB047,M,10,1.12,autotomy,0.385,Intermediate,22.6,247,196,96,9,31.5,365,233,96,3,46.1,713,304,113,10,17.1,43.5,139.2,22.1,39.8,216.5,14.4,34.3,300.0,10.6,False,True,,13.1,515,216,16,13,33.4,265,213,25,8,10.7,261,196,33,23,28.9,100.9,47.9,22.2,76.5,40.6,28.8,163.5,47.1,-0.225
GB048,F,19,1.25,autotomy,-1.963,Shy,598.0,57,30,0,56,463.5,68,10,0,58,356.6,102,10,0,33,157.6,295.0,7.6,127.7,295.0,4.6,80.9,295.0,8.1,30.0,True,False,,239.5,86,10,0,65,313.1,119,10,0,54,355.9,149,10,0,49,207.4,295.0,6.7,208.7,295.0,5.2,117.0,295.0,12.1,-2.526
GB049,F,10,1.14,sham,2.442,Bold,1.0,2000,326,194,2,1.0,2000,358,185,1,1.0,2000,340,207,2,1.0,1.0,300.0,1.3,1.0,281.4,2.5,1.0,300.0,,,,4.2,1.9,2000,440,193,1,2.4,2000,412,196,1,1.6,2000,440,215,1,3.2,5.1,300.0,2.9,2.4,300.0,1.4,4.1,300.0,2.483
GB050,M,20,0.98,autotomy,-1.202,Shy,341.9,92,107,60,22,441.8,56,103,59,9,456.3,85,89,49,13,164.0,185.4,16.3,153.7,192.3,22.8,259.0,161.6,23.0,29.7,False,True,,54.3,162,111,0,47,167.1,150,134,16,60,102.6,137,117,14,25,195.5,57.7,36.2,78.6,112.1,59.9,77.4,56.9,29.5,-1.583
GB051,M,11,1.08,sham,1.512,Bold,1.9,1717,316,147,10,3.3,975,334,153,8,3.0,1624,338,164,6,6.3,11.3,55.7,3.7,6.3,89.5,6.1,11.0,68.8,,,,1.5,18.4,2000,360,138,1,7.8,2000,333,148,0,9.7,2000,341,144,1,2.0,3.8,216.3,5.5,7.8,264.6,2.4,8.6,300.0,1.498
GB052,M,13,1.17,autotomy,-0.913,Shy,151.0,700,126,33,19,71.5,259,69,43,42,124.0,321,121,31,26,145.2,21.1,28.6,88.5,54.0,14.6,87.7,37.0,22.1,18.4,False,True,,176.5,190,60,21,48,150.5,100,84,28,15,321.0,295,59,18,48,41.4,81.1,8.1,89.8,100.3,18.1,72.0,82.4,32.6,-1.368
GB053,M,13,1.09,autotomy,0.46,Intermediate,12.8,642,273,86,5,26.0,716,224,91,4,23.3,545,233,85,7,13.8,47.0,300.0,20.5,64.1,217.1,15.4,63.2,300.0,7.8,False,True,,19.8,1503,210,96,2,20.2,698,232,80,6,20.0,406,226,72,8,21.1,29.2,47.1,31.9,28.3,146.5,24.5,39.5,70.1,0.204
GB054,F,19,1.16,autotomy,-0.812,Shy,17.5,890,91,11,6,41.8,345,78,5,8,15.5,277,105,0,11,71.3,134.1,18.1,43.3,207.3,22.5,19.4,68.2,13.1,30.0,True,False,,209.0,113,79,67,46,188.7,56,60,86,33,206.8,141,49,68,30,18.1,142.0,88.6,25.4,284.2,150.1,37.4,261.8,88.0,-0.964
GB055,M,21,0.93,autotomy,0.897,Bold,3.5,2000,302,146,14,5.2,2000,300,144,9,3.4,1825,305,128,10,10.8,22.8,96.0,5.2,21.8,127.5,7.4,20.4,102.8,5.0,False,True,,47.3,1044,240,54,27,38.3,347,267,50,24,60.0,593,270,62,30,25.8,31.8,66.0,43.1,33.6,119.7,48.3,49.6,72.8,0.071
GB056,F,17,0.91,autotomy,-0.135,Intermediate,55.0,1087,208,91,18,99.1,1254,220,58,7,112.4,533,188,107,6,44.1,62.4,110.0,29.8,39.2,66.0,48.2,23.8,56.0,21.4,False,True,,65.2,187,173,74,17,107.7,215,146,58,21,73.1,144,165,87,11,128.0,175.8,89.0,131.9,122.9,44.3,92.6,295.0,30.0,-0.718
GB057,M,19,0.95,sham,0.368,Intermediate,46.0,600,222,108,8,12.9,1039,157,138,8,28.8,1356,184,111,6,11.7,38.6,113.8,14.4,25.8,70.7,11.8,39.9,70.4,,,,15.6,31.6,696,246,90,4,11.4,423,280,85,0,45.1,710,232,90,4,18.1,46.2,132.1,35.9,34.8,57.3,12.5,48.9,154.0,0.332
GB058,M,10,0.86,sham,-0.085,Intermediate,25.5,168,188,80,18,28.2,166,145,85,76,29.8,210,191,64,25,33.7,39.2,52.0,7.6,60.0,120.6,31.1,59.4,38.6,,,,10.5,18.5,264,185,103,6,23.5,243,178,105,7,9.3,620,204,103,6,11.1,16.2,65.9,13.5,32.3,42.3,9.1,69.8,128.1,0.116
GB059,F,19,0.99,autotomy,-1.266,Shy,148.0,100,104,0,18,81.0,278,130,0,25,105.0,153,88,11,35,64.5,295.0,9.4,77.0,295.0,6.6,50.9,295.0,10.2,30.0,True,False,,132.5,346,53,5,60,109.2,305,39,8,83,304.4,122,59,18,69,78.8,295.0,11.7,66.9,295.0,15.7,118.4,295.0,17.3,-1.695
GB060,F,13,1.18,sham,0.604,Bold,27.0,887,310,170,6,27.4,1710,312,142,3,23.4,722,348,161,3,6.1,42.3,300.0,7.2,27.8,108.1,10.3,25.6,162.8,,,,14.6,9.7,1243,311,75,15,4.4,1745,298,79,5,9.8,2000,284,56,6,18.5,22.2,33.8,17.6,57.8,62.1,13.7,52.7,78.1,0.657
GB061,F,17,1.37,sham,-0.403,Shy,52.7,332,187,65,6,53.2,294,130,53,1,40.2,294,186,76,3,19.4,69.0,42.8,14.1,83.1,19.5,19.1,98.7,74.2,,,,26.0,112.0,773,170,33,17,81.0,342,101,49,12,116.4,563,130,73,9,20.7,79.5,91.2,18.5,108.3,124.8,11.5,73.2,123.7,-0.416
GB062,M,9,0.85,autotomy,0.945,Bold,21.7,835,246,115,1,16.2,533,228,127,12,14.3,910,233,95,3,4.5,14.3,235.0,3.0,38.4,300.0,3.5,30.4,298.1,5.0,False,True,,23.3,387,306,105,2,16.0,564,256,114,6,14.4,640,283,130,9,52.0,26.1,181.5,14.5,16.8,88.2,21.8,37.9,300.0,0.421
GB063,M,12,1.22,autotomy,-0.336,Intermediate,83.5,1867,158,61,72,72.7,1272,229,67,65,28.2,1006,168,79,23,67.4,21.7,42.4,45.1,112.1,36.9,70.8,110.4,29.8,19.7,False,True,,64.9,544,188,64,29,51.5,507,136,54,35,62.7,424,144,64,49,41.8,83.5,36.0,28.4,91.9,88.0,36.9,145.0,44.4,-0.653
GB064,F,18,1.33,autotomy,0.023,Intermediate,53.0,320,160,81,16,60.2,137,147,77,12,51.8,317,172,72,4,31.9,280.6,157.6,24.1,268.5,181.8,25.1,142.1,130.4,30.0,True,False,,14.3,857,213,62,28,11.5,2000,228,49,31,27.8,2000,242,77,24,32.8,29.4,92.9,22.5,14.1,68.0,19.4,9.8,39.0,0.033
