individual_ID,sex,age_days_post_moult,body_mass_g,autotomy_regime,personality_PC1_pre,personality_category,OFT_pre_T1_latency_first_move_s,OFT_pre_T1_total_distance_cm,OFT_pre_T1_time_exposed_zone_s,OFT_pre_T1_time_central_zone_s,OFT_pre_T1_freezing_bouts_n,OFT_pre_T2_latency_first_move_s,OFT_pre_T2_total_distance_cm,OFT_pre_T2_time_exposed_zone_s,OFT_pre_T2_time_central_zone_s,OFT_pre_T2_freezing_bouts_n,OFT_pre_T3_latency_first_move_s,OFT_pre_T3_total_distance_cm,OFT_pre_T3_time_exposed_zone_s,OFT_pre_T3_time_central_zone_s,OFT_pre_T3_freezing_bouts_n,PCRT_pre_T1_latency_resume_s,PCRT_pre_T1_total_freeze_duration_s,PCRT_pre_T1_shelter_seeking_latency_s,PCRT_pre_T2_latency_resume_s,PCRT_pre_T2_total_freeze_duration_s,PCRT_pre_T2_shelter_seeking_latency_s,PCRT_pre_T3_latency_resume_s,PCRT_pre_T3_total_freeze_duration_s,PCRT_pre_T3_shelter_seeking_latency_s,autotomy_latency_s,autotomy_censored,autotomy_occurred,sham_pinch_duration_s,OFT_post_T1_latency_first_move_s,OFT_post_T1_total_distance_cm,OFT_post_T1_time_exposed_zone_s,OFT_post_T1_time_central_zone_s,OFT_post_T1_freezing_bouts_n,OFT_post_T2_latency_first_move_s,OFT_post_T2_total_distance_cm,OFT_post_T2_time_exposed_zone_s,OFT_post_T2_time_central_zone_s,OFT_post_T2_freezing_bouts_n,OFT_post_T3_latency_first_move_s,OFT_post_T3_total_distance_cm,OFT_post_T3_time_exposed_zone_s,OFT_post_T3_time_central_zone_s,OFT_post_T3_freezing_bouts_n,PCRT_post_T1_latency_resume_s,PCRT_post_T1_total_freeze_duration_s,PCRT_post_T1_shelter_seeking_latency_s,PCRT_post_T2_latency_resume_s,PCRT_post_T2_total_freeze_duration_s,PCRT_post_T2_shelter_seeking_latency_s,PCRT_post_T3_latency_resume_s,PCRT_post_T3_total_freeze_duration_s,PCRT_post_T3_shelter_seeking_latency_s,personality_PC1_post
GB011,M,9,0.84,sham,0.184,Intermediate,24.3,710,190,88,10,25.1,559,193,105,9,27.4,1038,182,94,5,15.0,52.2,75.5,21.4,51.5,102.6,26.7,59.9,69.6,,,,5.9,9.0,1319,185,62,16,11.4,649,191,53,2,30.2,602,235,83,15,11.6,32.1,177.0,9.3,37.1,201.8,8.3,43.6,276.4,0.273
GB012,M,13,1.2,sham,0.578,Bold,18.6,733,243,107,15,47.1,518,182,116,14,18.5,1253,224,106,9,3.9,27.2,122.2,10.0,18.7,215.8,18.6,24.3,113.4,,,,11.9,5.9,1114,253,87,11,12.4,1895,248,84,9,5.8,1105,280,100,7,6.4,11.3,251.2,8.9,10.0,300.0,5.3,11.6,300.0,0.712
GB013,M,17,1.03,autotomy,2.135,Bold,2.2,1395,338,178,0,1.4,1260,335,149,0,1.2,1855,333,187,0,2.7,2.9,294.4,5.1,5.5,193.2,1.3,2.1,300.0,6.0,False,True,,20.9,2000,268,113,4,31.9,732,292,126,9,28.1,1104,258,113,9,6.2,12.1,300.0,11.3,49.4,300.0,10.2,20.9,282.9,0.712
GB014,M,17,0.99,autotomy,0.227,Intermediate,39.8,933,232,83,19,67.1,949,236,82,6,20.7,446,254,101,6,25.1,17.4,181.9,23.9,28.4,300.0,14.8,16.7,107.6,15.1,False,True,,45.2,544,247,51,10,62.0,888,194,82,10,34.3,539,223,84,12,32.1,27.3,130.0,17.9,58.0,227.0,21.5,26.8,126.9,-0.121
GB015,M,14,1.22,autotomy,1.655,Bold,5.7,1805,399,160,3,10.7,2000,360,155,0,14.9,2000,361,152,1,2.6,7.2,300.0,1.8,4.4,273.7,5.4,4.7,231.6,3.3,False,True,,12.5,799,167,76,4,21.5,743,178,105,7,9.9,544,150,86,2,18.0,45.2,244.1,27.4,32.1,225.3,12.9,27.5,139.6,0.472
GB016,M,11,0.92,sham,-0.463,Shy,32.2,399,143,46,20,25.6,221,126,41,8,10.6,228,138,63,7,36.5,190.4,110.1,13.9,77.5,118.7,15.9,69.6,84.6,,,,15.1,41.2,660,139,58,11,23.6,974,177,83,17,25.9,1066,188,47,19,43.2,19.1,54.1,57.7,56.3,46.2,19.8,22.0,89.4,-0.23
GB017,M,10,1.17,sham,0.087,Intermediate,26.4,1792,237,82,5,19.2,804,232,95,17,26.5,550,239,73,11,19.4,54.0,185.4,17.7,34.2,131.3,47.8,23.1,162.4,,,,20.6,32.4,260,161,55,12,15.1,252,166,65,28,16.2,179,200,87,9,25.8,49.7,49.1,23.3,32.1,38.0,20.8,32.5,48.8,0.09
GB018,M,14,1.09,sham,-0.593,Shy,45.0,362,165,57,48,35.8,743,123,57,39,56.2,465,109,35,39,34.5,39.1,67.2,39.3,63.5,53.8,25.0,52.6,38.7,,,,26.0,81.2,612,119,55,22,53.3,402,71,56,38,87.7,437,131,48,28,94.8,264.3,23.4,74.5,175.7,29.1,55.6,166.6,27.6,-0.72
GB019,M,14,0.9,autotomy,-0.68,Shy,121.3,364,112,47,13,265.8,346,50,12,32,82.9,465,128,26,9,19.9,67.8,102.0,105.2,104.9,50.8,56.4,158.1,76.7,21.3,False,True,,74.3,152,38,53,65,104.9,173,112,55,58,52.1,164,100,39,81,118.9,89.0,59.8,184.1,129.9,28.9,178.3,118.5,38.6,-1.11
GB020,M,9,1.04,sham,-0.263,Intermediate,40.8,354,198,34,9,35.2,519,230,27,9,24.2,268,182,57,3,32.1,39.3,57.1,27.8,54.5,104.5,18.7,66.2,35.1,,,,14.0,36.5,851,144,96,6,48.6,320,153,84,10,59.9,617,175,77,7,8.0,99.8,91.9,19.7,75.8,147.1,8.4,55.3,188.2,-0.15
GB021,M,12,1.19,sham,-0.281,Intermediate,28.1,523,215,92,30,61.2,327,230,74,34,26.7,448,225,79,19,26.9,54.7,34.7,9.3,65.5,45.6,13.6,56.7,57.4,,,,18.4,49.9,289,128,62,65,113.4,420,198,88,18,58.0,371,107,88,19,11.4,20.7,110.9,14.4,19.1,65.7,14.9,34.1,200.2,-0.394
GB022,M,11,1.16,autotomy,-0.604,Shy,42.0,740,51,48,18,52.5,493,71,57,16,92.7,652,98,53,10,72.5,81.5,31.9,32.1,68.1,82.3,79.7,109.3,48.3,30.0,True,False,,78.7,128,76,18,18,92.5,182,64,11,29,77.3,143,98,5,20,70.7,85.3,8.7,47.5,90.9,13.5,25.5,74.3,22.7,-0.85
GB023,M,8,1.26,sham,-0.549,Shy,37.0,399,123,27,11,47.6,243,131,35,4,75.5,444,124,30,6,38.2,139.5,19.9,64.4,134.6,17.3,41.0,36.6,31.4,,,,26.0,46.2,462,201,47,18,20.4,736,198,40,21,34.8,492,197,47,45,69.9,69.0,34.5,65.1,93.8,40.4,32.2,196.3,24.7,-0.517
GB024,M,14,1.1,sham,1.097,Bold,6.9,1348,287,144,3,6.3,1422,276,146,3,8.6,1446,294,164,5,3.0,3.8,70.5,3.9,10.0,61.1,4.1,8.9,78.8,,,,5.2,8.8,417,302,134,6,9.1,595,308,125,4,9.7,1084,334,149,4,7.3,16.9,251.0,6.4,9.3,75.9,3.7,4.9,219.3,0.995
GB025,M,18,1.48,sham,2.113,Bold,4.7,2000,427,165,1,2.6,2000,446,165,1,3.1,2000,433,157,0,3.1,8.8,220.6,2.3,5.5,300.0,2.2,4.2,298.7,,,,3.5,1.0,2000,440,152,1,1.4,2000,420,157,2,1.2,2000,424,154,1,3.1,2.3,298.0,4.3,1.0,108.9,3.4,1.8,252.7,2.234
GB026,M,20,0.92,autotomy,-0.498,Shy,35.3,586,158,72,61,18.6,378,186,79,55,53.3,350,139,53,53,19.6,151.2,87.4,21.3,76.1,51.2,18.6,143.3,41.6,12.5,False,True,,73.3,194,83,19,42,79.1,139,124,27,44,47.8,171,91,0,63,29.5,295.0,27.7,25.2,209.8,9.5,73.0,124.3,11.0,-0.934
GB027,M,12,0.99,sham,-0.324,Intermediate,23.1,279,126,74,10,30.6,198,149,66,45,22.4,228,135,84,19,20.9,121.1,93.8,29.1,75.7,122.6,25.3,67.9,146.1,,,,14.1,75.2,506,208,94,15,24.4,210,231,76,6,36.6,633,241,74,12,4.7,96.8,44.2,6.5,103.3,39.2,14.2,68.0,63.5,-0.103
GB028,M,8,1.04,autotomy,0.525,Bold,8.7,877,284,97,13,6.8,2000,266,101,7,20.2,976,254,111,4,8.4,48.8,132.8,23.6,40.1,69.7,8.6,25.2,79.7,20.8,False,True,,146.3,642,196,64,12,194.2,640,192,66,14,124.5,1082,191,53,16,14.7,47.0,46.4,21.9,120.1,63.7,16.0,48.6,44.2,-0.332
GB029,M,18,0.85,sham,3.187,Bold,1.0,2000,441,207,0,1.0,2000,461,226,0,1.0,2000,445,239,1,1.0,1.7,300.0,1.0,1.1,300.0,1.0,2.3,300.0,,,,1.5,1.0,2000,496,213,1,1.1,2000,475,210,2,1.0,2000,444,209,1,2.4,2.4,300.0,1.7,1.0,300.0,1.0,1.8,248.9,3.081
GB030,M,11,1.2,autotomy,0.084,Intermediate,8.8,701,181,103,19,11.7,741,225,92,16,10.7,1141,188,89,17,10.9,31.5,32.2,9.3,23.7,43.9,6.9,24.5,43.1,15.0,False,True,,16.5,920,170,26,5,9.0,394,177,25,5,14.4,318,162,33,5,86.9,124.8,27.1,40.5,54.2,42.1,61.9,116.6,27.1,-0.273
GB031,M,7,1.18,sham,0.973,Bold,3.5,499,294,136,14,10.1,624,273,135,13,15.8,396,258,133,7,6.9,24.4,103.9,11.2,27.2,35.6,2.7,46.3,105.2,,,,5.2,7.2,2000,266,148,3,12.5,2000,297,131,2,7.5,1993,294,163,3,3.3,59.6,300.0,5.0,42.2,300.0,2.9,32.8,276.8,1.081
GB032,M,18,1.05,sham,1.544,Bold,1.8,1536,312,162,4,3.7,2000,322,158,2,2.0,2000,331,168,8,3.8,2.6,299.3,4.0,4.5,300.0,4.2,7.1,300.0,,,,3.9,7.0,1679,372,111,3,4.7,2000,383,137,3,8.8,1668,364,106,4,6.2,5.9,300.0,4.7,6.2,199.8,6.6,5.0,164.1,1.659
GB033,M,16,0.98,autotomy,0.344,Intermediate,42.0,355,272,84,6,74.4,365,268,85,3,33.4,245,247,80,4,16.0,23.0,108.7,15.8,25.0,163.3,13.4,23.5,119.8,29.9,False,True,,16.0,325,197,81,3,11.3,487,199,94,3,11.2,592,183,96,3,14.3,34.3,46.9,22.9,17.0,72.9,39.1,28.3,66.5,0.025
GB034,M,12,0.84,sham,0.926,Bold,10.7,2000,358,146,10,6.0,2000,315,128,1,3.3,2000,325,128,4,7.1,14.0,114.4,13.9,16.9,104.5,10.1,12.4,104.0,,,,4.2,16.3,2000,192,114,4,9.4,2000,251,139,6,14.0,2000,249,102,7,12.6,23.4,89.2,9.4,9.6,169.1,10.7,20.9,50.6,0.828
GB035,M,19,0.94,autotomy,0.608,Bold,18.9,2000,220,128,8,8.2,2000,205,124,2,7.4,2000,206,145,9,9.6,7.8,91.0,19.7,8.7,95.5,23.6,5.2,100.1,10.0,False,True,,22.7,676,197,105,23,48.0,622,174,110,21,33.0,602,196,75,27,16.4,90.1,90.6,4.8,65.6,48.4,29.1,41.0,53.6,0.06
GB036,M,18,1.15,sham,1.033,Bold,8.8,1453,295,161,11,6.6,511,290,145,3,9.8,688,341,153,4,4.0,29.4,172.9,4.4,19.2,70.5,2.8,19.7,119.9,,,,5.3,13.9,2000,371,101,2,11.6,1605,367,133,1,9.5,2000,324,117,1,11.8,5.9,254.3,12.5,3.3,300.0,7.8,3.2,300.0,1.209
GB037,M,15,1.02,autotomy,-1.034,Shy,531.5,118,81,13,18,212.4,75,91,20,37,231.8,122,92,23,22,41.4,248.2,38.4,49.8,279.2,17.2,76.3,211.2,24.5,30.0,True,False,,159.6,256,24,37,53,111.6,278,40,27,57,166.3,184,76,64,56,115.0,133.7,17.8,90.1,295.0,9.4,83.4,295.0,17.5,-1.48
GB038,M,7,0.99,sham,0.204,Intermediate,16.7,346,218,100,13,8.3,564,195,89,15,23.6,305,202,91,11,2.5,10.7,128.5,4.4,23.1,73.2,4.4,17.2,127.0,,,,23.1,25.0,274,214,79,7,10.9,231,236,67,11,23.0,412,254,99,7,28.8,46.4,85.9,15.1,38.0,65.4,14.7,30.1,48.3,0.114
GB039,M,17,1.12,autotomy,0.481,Intermediate,8.4,916,262,109,8,15.5,994,242,131,3,28.3,1016,272,88,5,19.7,65.5,276.4,12.6,51.6,290.1,10.7,65.8,239.9,15.2,False,True,,48.8,276,182,68,9,50.7,231,148,69,5,70.5,221,142,68,6,14.1,34.5,65.0,17.4,56.7,72.8,17.3,28.8,126.5,-0.326
GB040,M,17,1.21,sham,0.467,Intermediate,43.1,413,187,84,10,24.4,303,208,80,15,31.7,237,199,83,20,10.4,21.6,29.7,15.4,15.7,84.9,36.9,10.6,38.5,,,,26.0,23.7,833,277,64,19,42.8,789,276,70,19,30.2,1010,226,97,18,31.3,50.2,30.1,14.3,56.4,40.8,52.3,26.4,79.7,0.453
GB041,M,21,1.09,autotomy,1.137,Bold,8.6,2000,328,163,4,5.5,1245,326,152,4,11.2,1182,334,164,7,7.9,9.2,300.0,3.9,11.1,186.2,5.4,24.1,300.0,13.1,False,True,,25.7,409,266,85,5,7.4,410,249,87,5,21.3,212,273,98,5,8.1,17.7,160.7,9.5,26.5,258.5,10.2,21.4,91.5,0.459
GB042,M,16,1.09,sham,0.447,Intermediate,8.7,1248,278,98,17,14.0,650,300,77,4,8.1,1479,269,86,5,17.3,11.3,89.0,17.2,13.8,87.7,12.0,30.0,159.6,,,,11.1,24.1,945,216,79,5,30.1,710,209,126,20,40.5,543,182,107,16,34.7,79.5,39.0,7.5,71.4,38.6,11.8,85.9,87.0,0.451
GB043,M,18,1.24,sham,-1.145,Shy,65.5,154,77,31,24,75.1,246,104,48,18,55.4,448,53,30,18,33.1,144.7,8.3,33.3,222.1,17.9,22.0,96.1,18.9,,,,26.0,139.5,209,143,56,31,308.6,260,87,65,27,145.1,292,118,31,34,49.4,111.6,22.7,67.2,81.1,52.0,75.1,139.3,53.9,-1.124
GB044,M,18,1.07,sham,0.591,Bold,39.7,1423,305,87,5,24.0,1062,247,118,8,21.7,935,264,92,6,14.0,53.5,51.7,8.5,64.3,69.0,10.4,95.2,82.2,,,,16.9,6.6,2000,222,122,2,6.8,2000,223,111,1,4.0,1033,266,107,1,7.8,14.3,96.8,6.4,27.4,93.4,8.4,19.6,68.2,0.804
GB045,M,21,1.01,autotomy,-0.883,Shy,28.8,292,87,64,38,34.8,240,87,34,25,67.2,219,71,22,41,43.7,145.5,32.4,69.6,142.4,82.1,56.4,184.4,37.4,30.0,True,False,,258.5,94,25,0,38,266.4,142,53,0,31,220.8,172,10,10,24,79.3,295.0,8.9,109.5,295.0,22.4,53.4,295.0,18.4,-1.669
GB046,M,20,1.14,autotomy,-0.699,Shy,141.1,282,173,97,34,243.5,198,206,70,18,130.7,349,151,102,44,72.8,99.3,21.8,48.8,114.2,9.7,69.6,80.3,30.2,30.0,True,False,,188.3,247,123,18,55,166.4,537,112,19,62,78.7,573,87,49,62,78.2,233.7,19.2,121.5,220.7,20.2,123.5,204.4,19.5,-1.073
GB047,M,20,1.01,autotomy,-0.419,Intermediate,44.6,393,78,74,12,41.6,497,77,68,5,77.1,550,99,39,4,22.2,33.6,102.2,43.0,42.0,14.6,24.8,68.0,31.3,30.0,True,False,,141.3,299,180,41,13,168.0,273,188,40,36,168.0,651,180,52,26,50.0,255.3,29.9,31.9,165.9,33.6,27.8,119.6,78.3,-0.796
GB048,M,21,1.0,autotomy,-0.111,Intermediate,39.3,919,293,50,23,81.5,490,282,56,59,60.5,379,251,83,29,89.5,67.8,58.7,34.6,52.6,129.5,51.5,33.7,67.3,18.5,False,True,,25.7,520,177,35,13,23.8,589,231,38,12,36.0,534,221,36,13,40.2,123.3,95.5,26.2,61.0,88.0,25.4,55.2,120.0,-0.158
GB049,M,20,1.23,sham,-1.544,Shy,334.8,326,64,19,20,255.3,281,44,33,17,283.2,206,47,34,11,87.2,157.6,36.9,162.9,295.0,46.8,67.8,295.0,93.3,,,,26.0,241.3,222,23,52,46,468.4,195,54,17,22,209.7,159,105,22,62,135.6,295.0,14.6,71.9,295.0,9.9,174.0,206.3,8.5,-1.591
GB050,M,9,1.01,autotomy,1.117,Bold,6.1,2000,277,153,2,10.2,1372,289,141,9,10.9,1991,294,141,8,4.2,14.4,288.2,3.5,24.0,255.1,3.6,13.7,300.0,10.5,False,True,,26.1,677,233,91,0,22.4,953,243,93,15,35.9,669,231,75,7,20.2,114.1,196.3,8.9,32.6,117.4,19.6,78.3,95.6,0.398
GB051,M,18,0.68,autotomy,-1.156,Shy,290.7,863,120,47,63,251.2,587,97,50,60,259.2,803,88,32,57,68.4,246.0,26.5,72.8,115.5,21.4,52.3,295.0,17.1,30.0,True,False,,66.0,484,95,0,52,149.8,714,117,0,62,91.0,946,71,20,42,53.4,123.7,59.0,65.1,161.9,34.2,38.4,224.8,46.5,-1.38
GB052,M,13,1.1,sham,1.57,Bold,7.2,2000,329,159,0,3.6,2000,292,171,0,6.3,2000,304,168,0,3.1,2.7,167.4,2.5,5.2,276.1,3.1,4.3,214.3,,,,6.0,6.0,2000,300,177,2,9.1,2000,323,183,2,4.0,2000,301,171,4,3.5,16.6,300.0,4.8,23.8,227.7,3.0,21.1,300.0,1.447
GB053,M,10,0.99,autotomy,-1.125,Shy,125.2,332,124,0,21,69.5,530,106,32,46,64.5,230,118,22,30,25.7,192.3,26.2,27.7,192.5,10.2,29.9,195.0,12.4,27.6,False,True,,187.4,146,108,63,9,49.6,170,161,52,26,152.2,121,113,64,28,141.8,295.0,33.3,153.4,295.0,22.4,79.2,295.0,15.1,-1.164
GB054,M,15,1.01,sham,1.282,Bold,11.4,1767,312,153,7,3.3,2000,354,182,1,9.2,1178,342,155,2,7.2,5.7,75.4,8.9,8.5,83.4,28.4,5.9,109.2,,,,2.8,19.5,2000,348,156,1,5.6,2000,311,176,1,7.3,2000,334,172,2,4.0,11.5,241.1,4.9,9.4,203.6,3.4,4.4,252.5,1.502
GB055,M,9,1.11,autotomy,-0.028,Intermediate,67.1,587,192,77,17,52.3,455,165,57,13,30.8,927,185,65,19,27.1,40.4,33.5,13.0,82.9,44.5,34.1,87.7,41.1,17.8,False,True,,29.7,231,138,34,13,20.5,356,165,48,37,43.6,338,153,71,47,20.1,47.4,35.0,15.4,52.7,56.6,18.4,42.1,21.9,-0.304
GB056,M,11,1.03,sham,-1.716,Shy,437.7,223,65,8,44,473.8,287,85,0,35,372.9,199,73,0,65,47.4,295.0,43.4,61.7,146.8,64.6,82.6,200.5,23.5,,,,26.0,204.7,189,21,0,61,97.0,149,42,0,69,65.7,108,14,0,64,118.9,196.5,9.8,80.6,249.9,15.6,65.6,138.0,13.0,-1.667
GB057,M,9,1.08,autotomy,-1.043,Shy,59.4,273,66,36,54,63.8,129,43,39,60,58.3,332,61,51,35,28.9,187.1,32.0,42.1,180.8,64.7,31.1,103.2,35.0,30.0,True,False,,145.9,262,10,10,59,430.9,279,10,0,48,228.8,143,10,0,54,162.7,295.0,9.8,183.8,223.6,8.9,208.7,295.0,8.1,-1.664
GB058,M,13,0.77,sham,1.326,Bold,8.7,2000,357,154,3,2.5,2000,370,134,5,4.8,2000,353,142,5,2.1,11.0,300.0,1.5,13.8,300.0,1.3,8.2,292.1,,,,5.5,4.7,699,283,150,1,6.7,1004,265,145,1,4.3,909,259,165,3,3.9,2.5,266.2,5.0,6.6,300.0,4.2,3.1,300.0,1.463
GB059,M,11,0.92,autotomy,0.449,Intermediate,20.2,693,268,75,16,18.7,685,247,117,8,10.5,644,294,81,10,27.7,15.7,88.8,19.8,15.7,31.2,12.2,22.2,52.9,15.3,False,True,,49.7,458,193,47,14,27.4,391,185,69,3,30.8,371,176,33,9,28.3,77.2,90.0,40.1,55.4,65.2,10.9,37.2,86.8,-0.183
GB060,M,15,1.25,autotomy,-0.079,Intermediate,21.6,1023,248,73,3,17.1,536,230,70,1,53.4,536,244,97,3,25.7,28.7,44.1,27.2,95.6,42.3,30.2,107.6,57.4,30.0,True,False,,13.5,1176,156,73,32,16.0,1110,148,81,12,13.3,1299,165,74,12,30.7,41.1,51.6,28.9,28.6,34.3,53.1,74.7,45.2,-0.36
GB061,M,13,1.05,sham,-2.217,Shy,196.1,50,10,0,61,196.3,50,10,0,50,171.1,50,41,5,68,299.0,295.0,15.9,299.0,295.0,8.0,299.0,295.0,10.3,,,,26.0,598.0,94,10,0,56,299.8,100,25,0,61,598.0,114,10,0,78,170.6,295.0,14.6,299.0,295.0,5.8,299.0,295.0,3.2,-2.219
GB062,M,8,0.82,autotomy,1.39,Bold,5.2,1855,322,132,1,3.1,1176,312,148,5,2.4,1719,323,145,1,4.0,13.7,282.3,5.3,12.4,106.5,7.6,9.0,300.0,4.1,False,True,,20.4,1564,259,80,8,14.2,2000,252,104,9,17.5,1600,279,78,7,33.3,36.4,170.3,16.6,21.0,169.9,20.6,28.1,165.7,0.627
GB063,M,10,0.9,sham,1.87,Bold,4.1,2000,397,174,5,3.9,2000,393,168,7,7.0,2000,363,166,10,1.5,2.0,300.0,2.3,2.6,300.0,3.8,1.8,184.9,,,,3.0,3.2,2000,420,141,2,3.7,1777,436,157,2,2.8,2000,426,180,1,1.9,5.1,224.5,2.6,3.5,191.2,2.6,5.1,167.8,1.826
GB064,M,15,0.91,autotomy,1.688,Bold,9.7,2000,246,137,2,2.9,2000,342,166,3,3.9,2000,307,132,4,3.5,7.1,300.0,1.6,6.5,239.3,1.6,3.5,243.4,3.9,False,True,,10.7,1207,244,129,35,11.4,1234,302,132,23,12.9,1074,264,127,19,13.1,59.0,144.9,11.9,29.3,164.3,10.9,24.5,111.7,0.772
GB065,M,18,1.06,sham,-0.615,Shy,91.2,553,87,66,10,61.8,566,109,42,13,43.8,542,58,32,15,30.6,68.8,96.7,32.8,76.0,45.2,27.0,39.2,54.0,,,,26.0,76.0,672,117,39,28,67.7,786,109,16,30,71.3,553,80,4,15,93.4,101.5,167.0,96.1,79.1,79.2,92.5,61.2,182.5,-0.577
