individual_ID,sex,age_days_post_moult,body_mass_g,autotomy_regime,personality_category,personality_PC1_pre,personality_PC1_post,autotomy_latency_s,autotomy_censored,autotomy_occurred,sham_pinch_duration_s,timepoint,trial,OFT_latency_first_move_s,OFT_total_distance_cm,OFT_time_exposed_zone_s,OFT_time_central_zone_s,OFT_freezing_bouts_n,PCRT_latency_resume_s,PCRT_total_freeze_duration_s,PCRT_shelter_seeking_latency_s
GB005,M,13,1.01,autotomy,Bold,1.496,0.511,5.5,False,True,,pre,1,3.1,2000,379,173,13,3.0,10.6,97.3
GB005,M,13,1.01,autotomy,Bold,1.496,0.511,5.5,False,True,,pre,2,4.5,2000,388,156,19,3.2,12.2,126.2
GB005,M,13,1.01,autotomy,Bold,1.496,0.511,5.5,False,True,,pre,3,4.2,2000,390,138,13,1.9,5.4,126.1
GB005,M,13,1.01,autotomy,Bold,1.496,0.511,5.5,False,True,,post,1,7.1,714,248,91,21,14.2,8.5,300.0
GB005,M,13,1.01,autotomy,Bold,1.496,0.511,5.5,False,True,,post,2,2.5,1380,230,90,18,9.3,14.5,165.3
GB005,M,13,1.01,autotomy,Bold,1.496,0.511,5.5,False,True,,post,3,6.8,1340,215,75,17,11.1,8.0,152.0
GB006,F,15,0.98,sham,Bold,0.701,0.568,,,,15.8,pre,1,12.9,1054,229,116,5,9.7,17.6,174.4
GB006,F,15,0.98,sham,Bold,0.701,0.568,,,,15.8,pre,2,14.9,1045,278,130,5,9.8,11.6,107.1
GB006,F,15,0.98,sham,Bold,0.701,0.568,,,,15.8,pre,3,23.0,930,240,134,2,6.6,10.7,102.6
GB006,F,15,0.98,sham,Bold,0.701,0.568,,,,15.8,post,1,11.7,572,258,161,4,6.4,24.1,197.5
GB006,F,15,0.98,sham,Bold,0.701,0.568,,,,15.8,post,2,10.2,506,269,155,7,20.1,19.1,72.6
GB006,F,15,0.98,sham,Bold,0.701,0.568,,,,15.8,post,3,13.7,1147,243,137,5,22.6,22.6,87.6
GB007,F,14,1.23,sham,Shy,-0.544,-0.577,,,,26.0,pre,1,93.9,1260,142,23,25,30.1,40.2,64.0
GB007,F,14,1.23,sham,Shy,-0.544,-0.577,,,,26.0,pre,2,91.4,1342,175,9,31,50.3,57.5,51.9
GB007,F,14,1.23,sham,Shy,-0.544,-0.577,,,,26.0,pre,3,97.6,852,136,44,39,27.9,45.8,48.0
GB007,F,14,1.23,sham,Shy,-0.544,-0.577,,,,26.0,post,1,136.3,1230,129,48,14,60.7,104.8,77.7
GB007,F,14,1.23,sham,Shy,-0.544,-0.577,,,,26.0,post,2,105.6,764,155,66,12,57.1,66.6,38.0
GB007,F,14,1.23,sham,Shy,-0.544,-0.577,,,,26.0,post,3,191.1,1269,127,60,16,31.1,71.1,52.6
GB008,M,18,1.08,autotomy,Bold,1.256,0.052,6.6,False,True,,pre,1,4.4,2000,344,118,1,9.5,53.2,300.0
GB008,M,18,1.08,autotomy,Bold,1.256,0.052,6.6,False,True,,pre,2,3.0,1808,393,146,5,10.0,13.3,300.0
GB008,M,18,1.08,autotomy,Bold,1.256,0.052,6.6,False,True,,pre,3,9.5,2000,358,138,2,9.3,17.6,115.7
GB008,M,18,1.08,autotomy,Bold,1.256,0.052,6.6,False,True,,post,1,50.1,493,250,46,10,4.2,29.9,15.3
GB008,M,18,1.08,autotomy,Bold,1.256,0.052,6.6,False,True,,post,2,80.1,517,214,43,13,6.3,42.1,58.3
GB008,M,18,1.08,autotomy,Bold,1.256,0.052,6.6,False,True,,post,3,58.9,907,205,58,12,7.2,34.7,44.9
GB009,M,8,1.24,sham,Shy,-0.84,-0.911,,,,9.8,pre,1,490.9,347,72,10,26,35.7,106.3,87.4
GB009,M,8,1.24,sham,Shy,-0.84,-0.911,,,,9.8,pre,2,92.4,171,79,7,50,57.6,104.4,98.3
GB009,M,8,1.24,sham,Shy,-0.84,-0.911,,,,9.8,pre,3,241.4,462,76,13,30,40.2,76.5,84.0
GB009,M,8,1.24,sham,Shy,-0.84,-0.911,,,,9.8,post,1,44.9,189,116,0,28,64.4,188.9,25.8
GB009,M,8,1.24,sham,Shy,-0.84,-0.911,,,,9.8,post,2,76.7,169,158,0,34,53.3,196.7,30.4
GB009,M,8,1.24,sham,Shy,-0.84,-0.911,,,,9.8,post,3,30.7,177,138,0,16,22.0,225.0,21.4
GB010,F,7,0.91,sham,Shy,-0.549,-0.491,,,,17.0,pre,1,35.6,1056,208,61,6,42.4,85.4,24.7
GB010,F,7,0.91,sham,Shy,-0.549,-0.491,,,,17.0,pre,2,57.9,1283,237,68,3,31.8,61.4,28.9
GB010,F,7,0.91,sham,Shy,-0.549,-0.491,,,,17.0,pre,3,84.3,671,152,59,2,32.8,107.4,8.7
GB010,F,7,0.91,sham,Shy,-0.549,-0.491,,,,17.0,post,1,30.6,710,154,51,16,76.2,71.9,74.8
GB010,F,7,0.91,sham,Shy,-0.549,-0.491,,,,17.0,post,2,94.0,538,180,46,30,113.9,70.6,66.1
GB010,F,7,0.91,sham,Shy,-0.549,-0.491,,,,17.0,post,3,31.0,749,149,34,16,53.9,54.5,57.0
GB011,M,13,1.01,sham,Shy,-0.949,-0.948,,,,21.8,pre,1,87.6,327,196,39,37,106.5,106.1,7.2
GB011,M,13,1.01,sham,Shy,-0.949,-0.948,,,,21.8,pre,2,56.5,374,156,16,26,89.0,70.4,19.3
GB011,M,13,1.01,sham,Shy,-0.949,-0.948,,,,21.8,pre,3,127.8,1072,194,36,65,64.1,228.0,8.6
GB011,M,13,1.01,sham,Shy,-0.949,-0.948,,,,21.8,post,1,140.4,488,117,23,21,46.0,216.7,76.3
GB011,M,13,1.01,sham,Shy,-0.949,-0.948,,,,21.8,post,2,116.0,432,133,19,22,62.3,295.0,44.6
GB011,M,13,1.01,sham,Shy,-0.949,-0.948,,,,21.8,post,3,111.6,221,112,2,35,49.6,282.3,43.0
GB012,F,13,1.2,sham,Shy,-0.836,-0.8,,,,26.0,pre,1,134.6,342,198,13,65,73.3,85.3,115.5
GB012,F,13,1.2,sham,Shy,-0.836,-0.8,,,,26.0,pre,2,44.5,167,198,0,66,46.7,112.4,93.9
GB012,F,13,1.2,sham,Shy,-0.836,-0.8,,,,26.0,pre,3,89.7,326,213,1,21,66.6,122.6,147.8
GB012,F,13,1.2,sham,Shy,-0.836,-0.8,,,,26.0,post,1,133.2,416,208,23,12,97.8,175.8,118.6
GB012,F,13,1.2,sham,Shy,-0.836,-0.8,,,,26.0,post,2,80.1,436,154,20,15,98.4,123.6,64.9
GB012,F,13,1.2,sham,Shy,-0.836,-0.8,,,,26.0,post,3,86.8,289,171,28,20,169.4,83.2,105.4
GB013,M,20,1.23,autotomy,Intermediate,0.233,-0.117,19.6,False,True,,pre,1,26.6,1771,247,104,12,20.1,79.9,300.0
GB013,M,20,1.23,autotomy,Intermediate,0.233,-0.117,19.6,False,True,,pre,2,44.4,1128,226,121,9,38.4,100.3,149.7
GB013,M,20,1.23,autotomy,Intermediate,0.233,-0.117,19.6,False,True,,pre,3,26.0,1839,226,98,15,13.9,68.1,58.5
GB013,M,20,1.23,autotomy,Intermediate,0.233,-0.117,19.6,False,True,,post,1,74.2,869,291,36,12,11.7,35.5,19.1
GB013,M,20,1.23,autotomy,Intermediate,0.233,-0.117,19.6,False,True,,post,2,74.9,624,261,46,7,15.4,50.8,20.7
GB013,M,20,1.23,autotomy,Intermediate,0.233,-0.117,19.6,False,True,,post,3,135.4,673,253,36,26,8.9,29.9,16.9
GB014,M,14,0.96,sham,Shy,-0.358,-0.276,,,,18.2,pre,1,32.7,508,161,83,10,12.4,69.1,50.1
GB014,M,14,0.96,sham,Shy,-0.358,-0.276,,,,18.2,pre,2,85.1,1457,171,68,6,22.7,137.5,59.3
GB014,M,14,0.96,sham,Shy,-0.358,-0.276,,,,18.2,pre,3,38.7,495,168,85,7,13.6,84.9,65.3
GB014,M,14,0.96,sham,Shy,-0.358,-0.276,,,,18.2,post,1,90.4,808,206,78,24,23.2,54.1,49.6
GB014,M,14,0.96,sham,Shy,-0.358,-0.276,,,,18.2,post,2,40.8,718,183,89,24,64.5,58.9,48.1
GB014,M,14,0.96,sham,Shy,-0.358,-0.276,,,,18.2,post,3,50.9,884,221,41,17,30.7,64.6,38.2
GB015,F,11,1.16,autotomy,Shy,-3.378,-3.841,30.0,True,False,,pre,1,598.0,153,10,0,64,299.0,295.0,3.9
GB015,F,11,1.16,autotomy,Shy,-3.378,-3.841,30.0,True,False,,pre,2,598.0,138,10,0,42,299.0,295.0,6.1
GB015,F,11,1.16,autotomy,Shy,-3.378,-3.841,30.0,True,False,,pre,3,598.0,159,10,0,65,299.0,295.0,4.0
GB015,F,11,1.16,autotomy,Shy,-3.378,-3.841,30.0,True,False,,post,1,598.0,50,10,0,51,299.0,295.0,2.0
GB015,F,11,1.16,autotomy,Shy,-3.378,-3.841,30.0,True,False,,post,2,598.0,50,10,0,55,299.0,295.0,3.5
GB015,F,11,1.16,autotomy,Shy,-3.378,-3.841,30.0,True,False,,post,3,598.0,50,10,0,72,299.0,295.0,2.0
GB016,F,9,1.38,autotomy,Intermediate,-0.168,-0.307,30.0,True,False,,pre,1,8.6,381,192,67,4,15.3,73.2,61.4
GB016,F,9,1.38,autotomy,Intermediate,-0.168,-0.307,30.0,True,False,,pre,2,15.3,598,197,69,6,10.1,66.0,96.3
GB016,F,9,1.38,autotomy,Intermediate,-0.168,-0.307,30.0,True,False,,pre,3,11.0,369,271,67,3,10.7,47.6,71.4
GB016,F,9,1.38,autotomy,Intermediate,-0.168,-0.307,30.0,True,False,,post,1,22.6,1115,189,67,13,16.5,51.0,66.2
GB016,F,9,1.38,autotomy,Intermediate,-0.168,-0.307,30.0,True,False,,post,2,64.5,754,226,62,25,28.2,54.9,65.9
GB016,F,9,1.38,autotomy,Intermediate,-0.168,-0.307,30.0,True,False,,post,3,61.0,854,199,62,14,43.9,64.8,61.4
GB017,F,18,1.17,sham,Shy,-0.418,-0.257,,,,26.0,pre,1,56.8,337,154,23,35,20.2,123.3,37.3
GB017,F,18,1.17,sham,Shy,-0.418,-0.257,,,,26.0,pre,2,30.3,392,213,51,13,22.9,52.5,23.1
GB017,F,18,1.17,sham,Shy,-0.418,-0.257,,,,26.0,pre,3,38.4,248,205,54,15,29.2,198.0,31.7
GB017,F,18,1.17,sham,Shy,-0.418,-0.257,,,,26.0,post,1,20.9,494,211,76,10,27.2,99.3,52.0
GB017,F,18,1.17,sham,Shy,-0.418,-0.257,,,,26.0,post,2,9.8,858,265,44,16,21.3,125.3,33.1
GB017,F,18,1.17,sham,Shy,-0.418,-0.257,,,,26.0,post,3,14.7,426,245,54,19,34.4,40.7,37.1
GB018,M,14,0.92,autotomy,Bold,0.793,0.332,2.4,False,True,,pre,1,3.5,386,294,117,5,20.1,15.1,214.5
GB018,M,14,0.92,autotomy,Bold,0.793,0.332,2.4,False,True,,pre,2,3.1,374,284,134,12,5.8,9.4,112.4
GB018,M,14,0.92,autotomy,Bold,0.793,0.332,2.4,False,True,,pre,3,3.1,540,274,124,1,5.3,19.4,80.9
GB018,M,14,0.92,autotomy,Bold,0.793,0.332,2.4,False,True,,post,1,9.2,1205,232,116,10,13.4,44.7,27.9
GB018,M,14,0.92,autotomy,Bold,0.793,0.332,2.4,False,True,,post,2,30.2,702,233,104,22,15.6,53.6,154.3
GB018,M,14,0.92,autotomy,Bold,0.793,0.332,2.4,False,True,,post,3,9.5,1340,204,92,36,12.8,37.7,200.1
GB019,F,12,1.25,autotomy,Shy,-0.463,-0.89,30.0,True,False,,pre,1,119.6,594,158,46,20,55.1,141.7,62.7
GB019,F,12,1.25,autotomy,Shy,-0.463,-0.89,30.0,True,False,,pre,2,182.5,662,168,36,18,32.4,65.1,49.2
GB019,F,12,1.25,autotomy,Shy,-0.463,-0.89,30.0,True,False,,pre,3,152.7,340,152,43,21,15.8,89.4,44.1
GB019,F,12,1.25,autotomy,Shy,-0.463,-0.89,30.0,True,False,,post,1,78.1,221,158,47,44,17.0,214.0,12.5
GB019,F,12,1.25,autotomy,Shy,-0.463,-0.89,30.0,True,False,,post,2,45.7,191,140,40,10,20.0,225.1,17.3
GB019,F,12,1.25,autotomy,Shy,-0.463,-0.89,30.0,True,False,,post,3,28.8,230,122,14,11,21.7,295.0,25.2
GB020,F,17,1.26,sham,Bold,2.639,2.828,,,,3.8,pre,1,1.5,2000,496,196,0,1.3,1.6,300.0
GB020,F,17,1.26,sham,Bold,2.639,2.828,,,,3.8,pre,2,5.0,2000,505,195,0,1.0,2.5,300.0
GB020,F,17,1.26,sham,Bold,2.639,2.828,,,,3.8,pre,3,3.2,2000,483,203,1,1.8,2.3,300.0
GB020,F,17,1.26,sham,Bold,2.639,2.828,,,,3.8,post,1,1.0,2000,444,202,1,1.6,3.9,300.0
GB020,F,17,1.26,sham,Bold,2.639,2.828,,,,3.8,post,2,1.0,2000,468,210,0,1.5,2.8,300.0
GB020,F,17,1.26,sham,Bold,2.639,2.828,,,,3.8,post,3,1.0,2000,429,197,0,1.8,1.8,269.1
GB021,F,9,1.18,autotomy,Bold,1.497,0.482,2.9,False,True,,pre,1,3.9,2000,318,175,5,9.7,5.2,300.0
GB021,F,9,1.18,autotomy,Bold,1.497,0.482,2.9,False,True,,pre,2,4.9,1078,295,163,8,9.8,12.0,266.3
GB021,F,9,1.18,autotomy,Bold,1.497,0.482,2.9,False,True,,pre,3,6.7,1542,256,150,9,8.8,6.3,280.8
GB021,F,9,1.18,autotomy,Bold,1.497,0.482,2.9,False,True,,post,1,55.6,631,215,88,26,12.6,7.6,57.9
GB021,F,9,1.18,autotomy,Bold,1.497,0.482,2.9,False,True,,post,2,67.9,627,235,93,21,13.5,9.7,145.1
GB021,F,9,1.18,autotomy,Bold,1.497,0.482,2.9,False,True,,post,3,51.8,876,257,105,4,14.6,8.1,149.7
GB022,M,7,1.13,sham,Shy,-0.49,-0.548,,,,26.0,pre,1,56.7,374,172,58,21,30.7,121.9,122.9
GB022,M,7,1.13,sham,Shy,-0.49,-0.548,,,,26.0,pre,2,33.1,499,172,55,12,30.1,154.4,206.9
GB022,M,7,1.13,sham,Shy,-0.49,-0.548,,,,26.0,pre,3,40.2,815,163,80,19,40.8,175.4,63.4
GB022,M,7,1.13,sham,Shy,-0.49,-0.548,,,,26.0,post,1,51.2,380,140,50,18,77.1,168.1,14.3
GB022,M,7,1.13,sham,Shy,-0.49,-0.548,,,,26.0,post,2,38.7,198,152,35,26,71.3,185.5,8.6
GB022,M,7,1.13,sham,Shy,-0.49,-0.548,,,,26.0,post,3,47.5,529,144,35,13,44.2,187.4,35.0
GB023,M,9,0.98,sham,Bold,1.05,1.21,,,,3.6,pre,1,31.5,685,322,156,3,5.3,48.9,93.4
GB023,M,9,0.98,sham,Bold,1.05,1.21,,,,3.6,pre,2,45.8,494,353,141,2,3.9,13.5,123.6
GB023,M,9,0.98,sham,Bold,1.05,1.21,,,,3.6,pre,3,22.9,616,350,127,7,11.6,40.0,96.9
GB023,M,9,0.98,sham,Bold,1.05,1.21,,,,3.6,post,1,7.2,1843,311,161,2,18.9,6.5,300.0
GB023,M,9,0.98,sham,Bold,1.05,1.21,,,,3.6,post,2,4.9,1734,291,166,2,17.8,21.5,231.5
GB023,M,9,0.98,sham,Bold,1.05,1.21,,,,3.6,post,3,8.8,2000,321,169,1,9.8,14.5,300.0
GB024,F,11,1.24,autotomy,Bold,0.625,-0.477,16.6,False,True,,pre,1,16.3,2000,228,122,6,8.0,41.0,125.3
GB024,F,11,1.24,autotomy,Bold,0.625,-0.477,16.6,False,True,,pre,2,13.6,1599,264,121,12,12.2,22.6,163.4
GB024,F,11,1.24,autotomy,Bold,0.625,-0.477,16.6,False,True,,pre,3,13.3,1463,245,97,13,3.2,27.0,102.0
GB024,F,11,1.24,autotomy,Bold,0.625,-0.477,16.6,False,True,,post,1,132.0,699,130,47,5,45.8,24.8,43.1
GB024,F,11,1.24,autotomy,Bold,0.625,-0.477,16.6,False,True,,post,2,184.6,499,156,51,8,35.6,17.3,39.3
GB024,F,11,1.24,autotomy,Bold,0.625,-0.477,16.6,False,True,,post,3,126.5,432,120,67,12,24.8,31.8,31.8
GB025,M,21,1.06,autotomy,Intermediate,0.133,-0.161,10.1,False,True,,pre,1,34.1,483,223,60,8,36.2,21.5,132.1
GB025,M,21,1.06,autotomy,Intermediate,0.133,-0.161,10.1,False,True,,pre,2,31.5,512,182,31,15,26.7,17.9,65.5
GB025,M,21,1.06,autotomy,Intermediate,0.133,-0.161,10.1,False,True,,pre,3,41.6,684,216,68,12,34.3,54.2,82.4
GB025,M,21,1.06,autotomy,Intermediate,0.133,-0.161,10.1,False,True,,post,1,21.6,734,212,47,13,12.9,40.3,16.3
GB025,M,21,1.06,autotomy,Intermediate,0.133,-0.161,10.1,False,True,,post,2,16.2,646,214,76,22,23.0,76.6,7.5
GB025,M,21,1.06,autotomy,Intermediate,0.133,-0.161,10.1,False,True,,post,3,17.9,600,186,61,18,26.9,37.8,24.8
GB026,M,20,1.31,sham,Bold,0.703,0.754,,,,15.2,pre,1,9.5,2000,291,120,8,19.5,6.0,144.5
GB026,M,20,1.31,sham,Bold,0.703,0.754,,,,15.2,pre,2,23.5,2000,299,87,4,19.3,11.5,52.7
GB026,M,20,1.31,sham,Bold,0.703,0.754,,,,15.2,pre,3,15.9,2000,286,83,7,8.9,15.7,51.5
GB026,M,20,1.31,sham,Bold,0.703,0.754,,,,15.2,post,1,9.7,2000,289,114,1,3.6,32.8,300.0
GB026,M,20,1.31,sham,Bold,0.703,0.754,,,,15.2,post,2,13.9,2000,250,141,7,6.5,24.2,239.3
GB026,M,20,1.31,sham,Bold,0.703,0.754,,,,15.2,post,3,9.5,2000,243,129,6,5.5,15.1,300.0
GB027,M,9,0.92,sham,Intermediate,-0.046,-0.157,,,,9.8,pre,1,99.9,741,244,69,49,26.3,36.3,73.4
GB027,M,9,0.92,sham,Intermediate,-0.046,-0.157,,,,9.8,pre,2,66.4,282,175,62,17,9.6,45.6,143.4
GB027,M,9,0.92,sham,Intermediate,-0.046,-0.157,,,,9.8,pre,3,29.5,620,238,66,23,14.2,63.9,163.5
GB027,M,9,0.92,sham,Intermediate,-0.046,-0.157,,,,9.8,post,1,15.6,584,180,90,7,36.4,21.7,103.6
GB027,M,9,0.92,sham,Intermediate,-0.046,-0.157,,,,9.8,post,2,22.1,903,178,64,3,45.5,36.5,56.4
GB027,M,9,0.92,sham,Intermediate,-0.046,-0.157,,,,9.8,post,3,37.7,332,162,56,4,38.8,24.8,121.7
GB028,F,7,1.26,autotomy,Intermediate,0.34,-0.177,30.0,True,False,,pre,1,57.6,361,245,89,7,3.6,19.7,176.2
GB028,F,7,1.26,autotomy,Intermediate,0.34,-0.177,30.0,True,False,,pre,2,40.6,456,194,82,0,5.8,23.0,149.5
GB028,F,7,1.26,autotomy,Intermediate,0.34,-0.177,30.0,True,False,,pre,3,21.8,836,245,79,3,7.6,56.5,108.6
GB028,F,7,1.26,autotomy,Intermediate,0.34,-0.177,30.0,True,False,,post,1,59.7,637,214,95,10,35.3,45.1,43.9
GB028,F,7,1.26,autotomy,Intermediate,0.34,-0.177,30.0,True,False,,post,2,43.6,671,230,117,27,44.4,32.5,25.8
GB028,F,7,1.26,autotomy,Intermediate,0.34,-0.177,30.0,True,False,,post,3,52.0,382,242,107,6,45.7,58.0,10.5
GB029,F,11,1.08,sham,Bold,0.923,1.056,,,,10.2,pre,1,11.2,1509,265,137,4,8.0,7.6,139.6
GB029,F,11,1.08,sham,Bold,0.923,1.056,,,,10.2,pre,2,14.7,797,278,133,8,8.2,17.6,150.4
GB029,F,11,1.08,sham,Bold,0.923,1.056,,,,10.2,pre,3,12.7,946,271,131,8,7.7,28.6,144.8
GB029,F,11,1.08,sham,Bold,0.923,1.056,,,,10.2,post,1,19.6,826,272,105,7,27.6,6.7,300.0
GB029,F,11,1.08,sham,Bold,0.923,1.056,,,,10.2,post,2,26.0,803,271,122,5,10.5,15.5,191.3
GB029,F,11,1.08,sham,Bold,0.923,1.056,,,,10.2,post,3,10.1,1498,329,134,1,19.1,15.3,188.3
GB030,F,16,1.14,sham,Bold,2.152,2.138,,,,1.8,pre,1,1.0,1101,344,179,0,1.8,3.8,207.9
GB030,F,16,1.14,sham,Bold,2.152,2.138,,,,1.8,pre,2,1.8,1882,386,175,0,3.4,3.1,300.0
GB030,F,16,1.14,sham,Bold,2.152,2.138,,,,1.8,pre,3,1.7,2000,367,187,1,3.9,3.1,300.0
GB030,F,16,1.14,sham,Bold,2.152,2.138,,,,1.8,post,1,2.0,668,435,188,0,1.7,3.8,300.0
GB030,F,16,1.14,sham,Bold,2.152,2.138,,,,1.8,post,2,3.4,760,457,169,0,1.5,5.7,300.0
GB030,F,16,1.14,sham,Bold,2.152,2.138,,,,1.8,post,3,2.7,888,440,172,0,3.1,6.3,297.3
GB031,M,13,0.98,autotomy,Intermediate,0.151,-0.485,15.8,False,True,,pre,1,30.5,1242,228,67,9,16.5,48.2,252.2
GB031,M,13,0.98,autotomy,Intermediate,0.151,-0.485,15.8,False,True,,pre,2,36.3,875,219,82,3,6.4,35.7,165.1
GB031,M,13,0.98,autotomy,Intermediate,0.151,-0.485,15.8,False,True,,pre,3,23.9,929,208,89,13,10.4,63.8,107.5
GB031,M,13,0.98,autotomy,Intermediate,0.151,-0.485,15.8,False,True,,post,1,48.7,571,146,25,53,35.7,62.6,14.1
GB031,M,13,0.98,autotomy,Intermediate,0.151,-0.485,15.8,False,True,,post,2,60.0,374,145,51,26,23.8,75.5,22.1
GB031,M,13,0.98,autotomy,Intermediate,0.151,-0.485,15.8,False,True,,post,3,84.5,433,110,28,79,42.2,171.4,51.3
GB032,F,21,1.27,sham,Shy,-0.354,-0.301,,,,25.8,pre,1,45.6,733,130,88,19,21.1,137.9,43.0
GB032,F,21,1.27,sham,Shy,-0.354,-0.301,,,,25.8,pre,2,34.0,425,176,92,25,30.4,78.2,54.3
GB032,F,21,1.27,sham,Shy,-0.354,-0.301,,,,25.8,pre,3,44.2,295,131,75,10,26.3,118.5,15.2
GB032,F,21,1.27,sham,Shy,-0.354,-0.301,,,,25.8,post,1,54.0,148,106,101,4,120.2,65.2,45.5
GB032,F,21,1.27,sham,Shy,-0.354,-0.301,,,,25.8,post,2,27.7,269,171,69,1,64.9,48.6,100.7
GB032,F,21,1.27,sham,Shy,-0.354,-0.301,,,,25.8,post,3,16.6,345,150,93,4,31.2,33.4,80.3
GB033,M,20,1.11,sham,Shy,-2.129,-2.191,,,,26.0,pre,1,415.3,243,52,0,65,217.0,295.0,31.2
GB033,M,20,1.11,sham,Shy,-2.129,-2.191,,,,26.0,pre,2,245.4,146,61,0,62,299.0,295.0,14.8
GB033,M,20,1.11,sham,Shy,-2.129,-2.191,,,,26.0,pre,3,473.7,171,45,0,63,183.4,295.0,29.7
GB033,M,20,1.11,sham,Shy,-2.129,-2.191,,,,26.0,post,1,450.4,95,10,0,50,184.1,295.0,6.1
GB033,M,20,1.11,sham,Shy,-2.129,-2.191,,,,26.0,post,2,389.3,67,10,0,64,231.3,295.0,8.7
GB033,M,20,1.11,sham,Shy,-2.129,-2.191,,,,26.0,post,3,342.2,103,19,0,67,169.1,295.0,10.0
GB034,F,13,1.19,sham,Bold,2.061,2.094,,,,3.0,pre,1,3.0,1358,412,148,4,1.4,6.2,196.4
GB034,F,13,1.19,sham,Bold,2.061,2.094,,,,3.0,pre,2,2.9,2000,358,160,2,1.4,10.7,300.0
GB034,F,13,1.19,sham,Bold,2.061,2.094,,,,3.0,pre,3,3.5,2000,379,169,0,1.0,3.2,300.0
GB034,F,13,1.19,sham,Bold,2.061,2.094,,,,3.0,post,1,1.1,2000,327,179,0,2.2,6.2,300.0
GB034,F,13,1.19,sham,Bold,2.061,2.094,,,,3.0,post,2,2.6,2000,282,158,1,5.8,2.5,300.0
GB034,F,13,1.19,sham,Bold,2.061,2.094,,,,3.0,post,3,2.1,2000,323,140,0,2.4,3.3,300.0
